,AMX morning,AMX afternoon,FMX morning,FMX afternoon
3,BLC,,BLC,
4,BLC,VPN,BLC,VPN
5,BLC,,BLC,
6,BLC,,BLC,
7,BLC,Live,BLC,Live
8,BLC,,BLC,
9,BLC,,BLC,
10,BLC,,BLC,
13,BLC,,BLC,
14,BLC,,BLC,
15,BLC,,BLC,
16,BLC,,BLC,
17,BLC,,BLC,
18,BLC,,BLC,
19,BLC,,BLC,
20,BLC,,BLC,
24,BLC,,,
25,BLC,,,
26,BLC,,,
27,BAG,,BAG,
28,BLC,,,
29,BLC,,,
30,BLC,,,
31,BLC,,,
