,AMX morning,AMX afternoon,AMX overnight,FMX morning,FMX afternoon,FMX overnight
13,FMX,,,FMX,,
19,AMX,,,,,
20,CBMS,,,,,
22,AMX,Connection,,,Connection,Connection
25,,BLC,BLC,,BLC,BLC
26,BLC,BLC,BLC,BLC,BLC,BLC
27,BLC:,BLC,BLC,BLC,BLC:,BLC:
28,BLC,BAG,BLC,BLC:,BLC,BLC
29,BLC,BLC,BLC,BLC,BLC,BLC
30,BLC,GU,BLC,BLC,BLC,BLC
31,BLC,BAG,BLC,BLC,BLC,BLC
