,AMX morning,AMX afternoon,AMX overnight,FMX morning,FMX afternoon,FMX overnight
17,BAG,PR,PR,PR,BAG,BAG
18,,BAG,BAG,BAG,BAG,BAG
21,,Axis,Empty,,,
22,BAG,BAG,BAG,,,
23,,BAG,BAG,BAG,BAG,BAG
24,BAG,BAG305018,BAG305018,GU,BAG,BAG
25,:q,BAG305033,BAG305033,PR,PR,
27,floating,SM3,test,axis,,
28,,,Test,,,
30,,PR,PR,BAG,BAG,BAG
31,GU,GU,GU,BAG,PR,
