,AMX morning,AMX afternoon,AMX overnight,FMX morning,FMX afternoon,FMX overnight
1,BAG,BAG,,RA,BAG,
2,BAG,BAG,BAG,BAG,PR,PR
6,BAG305000,,,,,
7,,BAG305000,,BAG,BAG,
8,BAG,RA,RA,BAG,BAG,
9,BAG,PR,,PR,PR,PR
10,BAG,RA,RA,PR,BAG,BAG
11,BAG,,,BAG,,
