,AMX morning,AMX afternoon,AMX overnight,FMX morning,FMX afternoon,FMX overnight
1,BAG305000,BAG,BAG,BAG,BAG,BAG
2,,BAG,BAG,PR,BAG,BAG
3,PR,PR305476,,,,
4,BAG,BAG,,BAG,GU,
5,BAG,BAG,BAG,BAG,BAG,
6,BAG,BAG,,BAG,BAG,
7,BAG,BAG,BAG,BAG,BAG,BAG
8,annealer,top-view,,annealer,Connection,
9,,CBMS,,,CBMS,
10,BAG,BAG,BAG,BAG,BAG,BAG
11,GU,BAG,BAG,PR,PR,PR
12,SPP-PR,GU,GU,PR,,
13,PR,,,BAG,BAG,
14,BAG,GU,GU305642,GU,BAG305000,BAG305000
15,PR,PR,PR,BAG,BAG,BAG
16,BAG,BAG,BAG,BAG,BAG,BAG
17,BAG,PR,,BAG,,
21,,sam,,,,
