,AMX morning,AMX afternoon,AMX overnight,FMX morning,FMX afternoon,FMX overnight
1,RA,,,BAG,,
3,pi,foating,xrf,,,
6,,BAG,,,BAG305000-K,
7,GU,BAG,BAG,PR,PR,PR
8,BAG,,,,,
10,,BAG,BAG,,PR,
11,PR,PR,PR,PR,BAG,BAG
12,GU,RA,RA,BAG,BAG305044,
17,,GU,,,BAG305000-K,
18,BAG,RA,,BAG,BAG305002,
19,BAG,RA,RA,PR,BAG,BAG
20,RA,PR,PR,BAG,BAG,
21,BAG,BAG,,BAG,PR,PR
22,BAG,BAG,,BAG,RA,RA
23,GU,,,RA,PR,RA
24,,BAG,,,PR,
25,Maintenance,,,,,
26,,BAG,BAG,,RA,
27,RA,PR,,BAG,RA,RA
28,PR,PR,PR,BAG,PR,PR
29,PR,,,BAG,BAG,
30,RA,PR,,RA,RA,
31,RA,PR,PR,BAG,BAG,
