,AMX morning,AMX afternoon,AMX overnight,FMX morning,FMX afternoon,FMX overnight
1,BAG,BAG,BAG,BAG,BAG,BAG
2,,,,JA,,
4,BLC,BAG305046,BAG305046,BLC:,BAG,BAG
5,BAG,BAG,,BAG,PR,PR
6,BAG,,,GU,GU,GU
7,,,,PR,,
8,BAG,BAG,BAG,BAG,BAG,BAG
9,,GU,GU,,GU,GU
10,BLC,BAG,BAG,BLC:,PR,PR
11,PR,,,PR,CRLs(?),
12,,Connection,,JA/MF,Connection,Connection
15,BLC,,,BLC,BAG,BAG
16,GU,GU,,Mirror,,
17,CBMS,,,BAG,PR,PR
18,GU,BAG,,BLC,BAG,BAG
19,BAG,BAG,,PR,GU,GU
20,BAG,BAG,BAG,PR,,
21,BAG,BAG,,,,
22,GU,GU,GU,JA,,
23,puck,gap,,,gap,
25,BLC,BAG,,BLC,PR,PR
26,PR,PR,PR,BAG305,BAG305,BAG305
27,BAG,Puck,,RA,RA,RA
28,PR,BAG,,RA,RA,RA
