,Date,Time,Load
0,20/03/21,00:00:38,-0.792
1,20/03/21,00:01:22,-0.8
2,20/03/21,00:02:02,-0.905
3,20/03/21,00:02:45,-0.8
4,20/03/21,00:07:16,-0.775
5,20/03/21,00:19:38,-0.8
6,20/03/21,08:35:41,-0.901
7,20/03/21,09:29:47,-0.8
8,20/03/21,09:47:28,-0.8
9,20/03/21,09:50:10,-0.812
10,20/03/21,10:17:59,-0.8
11,20/03/21,10:28:13,-0.8
12,20/03/21,10:35:07,-0.8
13,20/03/21,10:42:16,-0.8
14,20/03/21,10:51:28,-0.8
15,20/03/21,10:59:19,-0.818
16,20/03/21,11:08:44,-0.65
17,20/03/21,11:37:13,-0.657
18,20/03/21,11:49:42,-0.701
19,20/03/21,12:09:37,-0.8
20,20/03/21,12:17:25,-0.8
21,20/03/21,12:25:14,-0.8
22,20/03/21,12:31:38,-0.8
23,20/03/21,12:39:23,-0.856
24,20/03/21,12:41:57,-0.8
25,20/03/21,12:50:19,-0.8
26,20/03/21,13:00:20,-0.719
27,20/03/21,13:12:46,-0.8
28,20/03/21,13:23:50,-0.8
29,20/03/21,13:31:26,-0.583
30,20/03/21,13:36:23,-0.8
31,20/03/21,13:46:47,-0.8
32,20/03/21,13:47:56,-0.842
33,20/03/21,13:54:26,-0.818
34,20/03/21,14:05:20,-0.829
35,20/03/21,14:08:41,-0.8
36,20/03/21,14:11:37,-0.767
37,20/03/21,14:18:41,-0.8
38,20/03/21,14:19:58,-0.8
39,20/03/21,14:22:28,-0.875
40,20/03/21,14:30:09,-1.43
41,20/03/21,14:32:44,-0.732
42,20/03/21,14:34:44,-0.8
43,20/03/21,14:35:51,-0.909
44,20/03/21,14:38:45,-0.8
45,20/03/21,14:39:45,-1.057
46,20/03/21,14:48:34,-0.8
47,20/03/21,14:55:00,-1.043
48,20/03/21,15:03:09,-0.846
49,20/03/21,15:04:26,-0.8
50,20/03/21,15:07:07,-0.8
51,20/03/21,15:08:04,-0.8
52,20/03/21,15:08:30,-0.8
53,20/03/21,15:13:53,-0.8
54,20/03/21,15:14:39,-0.895
55,20/03/21,15:40:06,-0.991
56,20/03/21,16:30:48,-0.8
57,20/03/21,16:40:01,-0.8
58,20/03/21,16:50:06,-0.8
59,20/03/21,17:01:31,-0.8
60,20/03/21,17:19:56,-0.8
61,20/03/21,17:26:10,-0.8
62,20/03/21,17:29:50,-0.884
63,20/03/21,17:32:18,-1.132
64,20/03/21,17:34:49,-0.8
65,20/03/21,17:41:09,-0.8
66,20/03/21,17:45:47,-0.8
67,20/03/21,17:51:34,-0.8
68,20/03/21,18:01:04,-0.8
69,20/03/21,18:04:15,-0.8
70,20/03/21,18:04:41,-0.8
71,20/03/21,18:09:58,-0.8
72,20/03/21,18:13:00,-0.8
73,20/03/21,18:28:08,-0.8
74,20/03/21,18:31:00,-0.8
75,20/03/21,18:33:21,-0.879
76,20/03/21,18:36:06,-0.853
77,20/03/21,18:38:51,-0.909
78,20/03/21,18:39:41,-0.8
79,20/03/21,18:44:21,-0.8
80,20/03/21,18:45:01,-0.72
81,20/03/21,18:47:51,-0.903
82,20/03/21,18:55:44,-0.8
83,20/03/21,18:59:40,-0.911
84,20/03/21,19:09:20,-0.88
85,20/03/21,19:12:02,-0.825
86,20/03/21,19:16:31,-0.811
87,20/03/21,19:20:32,-0.807
88,20/03/21,19:34:59,-0.71
89,20/03/21,19:37:55,-0.75
90,20/03/21,19:40:16,-0.923
91,20/03/21,19:42:54,-0.8
92,20/03/21,19:48:52,-0.646
93,20/03/21,19:54:47,-0.668
94,20/03/21,20:01:24,-1.072
95,20/03/21,20:09:45,-0.964
96,20/03/21,20:11:58,-0.921
97,20/03/21,20:14:15,-0.859
98,20/03/21,20:18:48,-0.705
99,20/03/21,20:20:47,-0.864
100,20/03/21,20:27:42,-0.876
101,20/03/21,20:30:45,-1.056
102,20/03/21,20:37:24,-0.926
