,Date,Time,Unmount
146,31/07/21,22:32:14,-0.724
147,31/07/21,22:43:53,-0.73
148,31/07/21,22:52:13,-0.714
149,31/07/21,23:00:16,-0.717
150,31/07/21,23:06:47,-0.746
151,31/07/21,23:07:59,-0.744
152,31/07/21,23:14:23,-0.728
153,31/07/21,23:15:22,-0.748
154,31/07/21,23:23:30,-0.725
155,31/07/21,23:30:49,-0.712
156,31/07/21,23:38:22,-0.756
157,31/07/21,23:39:23,-0.751
158,31/07/21,23:48:30,-0.731
159,31/07/21,23:57:00,-0.732
