,Date,Time,Unmount
0,26/07/21,13:43:21,-0.934
1,26/07/21,15:31:36,-0.882
2,26/07/21,15:41:09,-0.871
3,26/07/21,15:45:29,-0.885
4,26/07/21,15:51:39,-0.87
5,26/07/21,15:57:12,-0.832
6,26/07/21,16:06:57,-0.858
7,26/07/21,16:12:06,-0.867
8,26/07/21,16:15:16,-0.84
9,26/07/21,16:20:56,-0.853
10,26/07/21,16:27:22,-0.855
11,26/07/21,16:38:21,-0.795
12,26/07/21,16:45:29,-0.835
13,26/07/21,16:52:35,-0.834
14,26/07/21,16:58:55,-0.814
15,26/07/21,16:59:36,-0.827
16,26/07/21,17:09:28,-0.827
17,26/07/21,17:17:24,-0.82
18,26/07/21,17:19:54,-0.857
19,26/07/21,17:25:00,-0.799
20,26/07/21,17:28:13,-0.803
21,26/07/21,17:32:47,-0.8
22,26/07/21,17:35:16,-0.795
23,26/07/21,17:40:15,-0.784
24,26/07/21,17:50:20,-0.794
25,26/07/21,18:01:17,-0.782
26,26/07/21,18:05:57,-0.768
27,26/07/21,18:14:44,-0.775
28,26/07/21,18:23:16,-0.785
29,26/07/21,18:30:21,-0.799
30,26/07/21,18:35:45,-0.813
31,26/07/21,18:43:45,-0.782
32,26/07/21,18:51:59,-0.788
33,26/07/21,18:59:42,-0.785
34,26/07/21,19:10:51,-0.793
35,26/07/21,19:12:28,-0.804
36,26/07/21,19:24:55,-0.84
37,26/07/21,19:31:39,-0.835
38,26/07/21,19:39:21,-0.871
39,26/07/21,19:46:05,-0.841
40,26/07/21,19:47:18,-0.834
41,26/07/21,19:49:28,-0.841
42,26/07/21,19:56:24,-0.828
43,26/07/21,20:02:20,-0.809
44,26/07/21,20:14:22,-0.839
