,Date,Time,Load
0,24/03/21,00:03:58,-1.238
1,24/03/21,00:14:10,-0.336
2,24/03/21,00:14:47,-0.923
3,24/03/21,00:20:13,-0.66
4,24/03/21,00:22:18,-0.899
5,24/03/21,00:27:02,-1.366
6,24/03/21,00:31:49,-0.838
7,24/03/21,00:37:33,-0.886
8,24/03/21,00:41:09,-0.716
9,24/03/21,00:43:33,-1.0
10,24/03/21,00:48:57,-0.812
11,24/03/21,00:55:53,-0.968
12,24/03/21,01:00:49,-0.912
13,24/03/21,01:08:50,-0.791
14,24/03/21,01:14:13,-1.31
15,24/03/21,01:19:57,-0.973
16,24/03/21,01:23:03,-0.996
17,24/03/21,01:28:15,-1.377
18,24/03/21,01:32:44,-0.879
19,24/03/21,01:57:52,-0.801
20,24/03/21,04:24:28,-0.817
21,24/03/21,04:28:14,-0.621
22,24/03/21,04:32:04,-0.852
23,24/03/21,04:35:50,-0.83
24,24/03/21,04:39:36,-0.643
25,24/03/21,04:43:27,-1.322
26,24/03/21,04:48:17,-1.041
27,24/03/21,04:52:01,-0.778
28,24/03/21,04:55:48,-1.111
29,24/03/21,04:59:34,-0.695
30,24/03/21,09:15:44,-1.096
31,24/03/21,11:16:08,-0.8
32,24/03/21,11:33:51,-1.165
33,24/03/21,11:39:48,-0.991
34,24/03/21,12:21:58,-1.543
35,24/03/21,12:26:37,-0.985
36,24/03/21,12:32:32,-0.998
37,24/03/21,12:41:12,-1.463
38,24/03/21,12:52:03,-1.055
39,24/03/21,12:56:07,-0.8
40,24/03/21,12:57:24,-1.364
41,24/03/21,13:02:24,-0.924
42,24/03/21,13:05:25,-1.695
43,24/03/21,13:05:54,-1.136
44,24/03/21,13:08:37,-0.988
45,24/03/21,13:14:39,-0.894
46,24/03/21,13:19:19,-0.947
47,24/03/21,13:22:43,-0.736
48,24/03/21,13:31:16,-0.956
49,24/03/21,13:43:00,-1.197
50,24/03/21,13:53:38,-1.238
51,24/03/21,13:57:07,-0.839
52,24/03/21,14:06:13,-1.334
53,24/03/21,14:06:42,-0.704
54,24/03/21,14:10:31,-0.812
55,24/03/21,14:13:48,-0.8
56,24/03/21,14:16:58,-0.865
57,24/03/21,14:18:58,-0.895
58,24/03/21,14:23:32,-0.777
59,24/03/21,14:26:37,-0.917
60,24/03/21,14:30:06,-0.946
