,Date,Time,Unmount
0,17/06/21,09:43:53,-0.897
1,17/06/21,09:52:35,-0.848
2,17/06/21,09:58:32,-0.836
3,17/06/21,10:04:40,-0.844
4,17/06/21,10:14:22,-0.846
5,17/06/21,10:18:10,-0.841
6,17/06/21,10:57:15,-0.816
7,17/06/21,11:21:06,-0.824
8,17/06/21,11:23:35,-0.83
9,17/06/21,11:26:38,-0.847
10,17/06/21,11:32:54,-0.812
11,17/06/21,11:41:21,-0.805
12,17/06/21,11:48:41,-0.794
13,17/06/21,11:59:04,-0.8
14,17/06/21,12:04:10,-0.799
15,17/06/21,12:10:40,-0.788
16,17/06/21,12:16:48,-0.774
17,17/06/21,12:21:25,-0.759
18,17/06/21,12:27:03,-0.781
19,17/06/21,12:35:24,-0.743
20,17/06/21,12:42:03,-0.771
21,17/06/21,12:46:29,-0.783
22,17/06/21,12:51:18,-0.787
23,17/06/21,12:58:32,-0.764
24,17/06/21,13:14:03,-0.78
25,17/06/21,13:18:21,-0.765
26,17/06/21,13:25:38,-0.736
27,17/06/21,13:32:28,-0.756
28,17/06/21,13:39:21,-0.784
29,17/06/21,13:46:32,-0.752
30,17/06/21,13:53:37,-0.734
31,17/06/21,14:00:01,-0.751
32,17/06/21,14:06:26,-0.775
33,17/06/21,14:12:26,-0.76
34,17/06/21,14:14:46,-0.777
35,17/06/21,14:16:47,-0.788
36,17/06/21,14:22:00,-0.765
37,17/06/21,14:28:16,-0.75
38,17/06/21,14:30:53,-0.76
39,17/06/21,14:34:58,-0.724
40,17/06/21,14:36:01,-0.771
41,17/06/21,14:38:12,-0.732
42,17/06/21,14:45:22,-0.746
43,17/06/21,14:50:14,-0.761
44,17/06/21,14:53:34,-0.765
45,17/06/21,14:55:52,-0.791
46,17/06/21,14:57:56,-0.762
47,17/06/21,15:00:01,-0.784
48,17/06/21,15:02:14,-0.751
49,17/06/21,15:04:04,-0.786
50,17/06/21,15:06:15,-0.788
51,17/06/21,15:08:30,-0.75
52,17/06/21,15:10:31,-0.799
53,17/06/21,15:14:31,-0.792
54,17/06/21,15:16:55,-0.784
55,17/06/21,15:19:35,-0.795
56,17/06/21,15:22:31,-0.793
57,17/06/21,15:27:11,-0.784
58,17/06/21,15:30:16,-0.771
59,17/06/21,15:32:44,-0.776
60,17/06/21,15:36:45,-0.746
61,17/06/21,15:42:42,-0.748
62,17/06/21,15:47:08,-0.783
63,17/06/21,15:53:17,-0.776
64,17/06/21,15:59:21,-0.741
65,17/06/21,16:15:40,-0.757
66,17/06/21,16:22:31,-0.757
67,17/06/21,16:25:48,-0.749
68,17/06/21,16:31:10,-0.761
69,17/06/21,17:12:30,-0.776
70,17/06/21,17:21:40,-0.77
71,17/06/21,17:27:58,-0.772
72,17/06/21,17:28:53,-0.799
73,17/06/21,17:33:48,-0.775
74,17/06/21,17:36:18,-0.809
75,17/06/21,17:37:06,-0.808
76,17/06/21,17:42:26,-0.774
77,17/06/21,17:45:03,-0.767
78,17/06/21,17:47:59,-0.768
79,17/06/21,17:52:52,-0.746
80,17/06/21,18:01:53,-0.76
