,Date,Time,Unmount
0,28/07/21,00:01:05,-0.814
1,28/07/21,00:03:36,-0.804
2,28/07/21,00:06:21,-0.803
3,28/07/21,00:10:28,-0.792
4,28/07/21,00:17:32,-0.756
5,28/07/21,00:21:28,-0.763
6,28/07/21,00:39:30,-0.788
7,28/07/21,00:43:17,-0.779
8,28/07/21,00:45:50,-0.77
9,28/07/21,00:48:27,-0.775
10,28/07/21,00:52:16,-0.79
11,28/07/21,00:55:15,-0.815
12,28/07/21,11:48:12,-0.888
13,28/07/21,12:00:22,-0.852
14,28/07/21,12:04:20,-0.843
15,28/07/21,13:07:29,-0.811
16,28/07/21,14:22:17,-0.903
17,28/07/21,14:36:01,-0.851
18,28/07/21,16:41:19,-0.829
19,28/07/21,16:51:49,-0.833
20,28/07/21,17:02:03,-0.827
21,28/07/21,17:11:33,-0.792
22,28/07/21,17:42:09,-0.814
23,28/07/21,17:48:12,-0.814
24,28/07/21,17:53:27,-0.809
25,28/07/21,18:05:53,-0.814
26,28/07/21,18:12:29,-0.792
27,28/07/21,18:18:11,-0.808
28,28/07/21,18:21:05,-0.787
29,28/07/21,18:32:42,-0.798
30,28/07/21,18:44:37,-0.79
31,28/07/21,18:52:49,-0.796
32,28/07/21,18:56:25,-0.793
33,28/07/21,19:00:02,-0.767
34,28/07/21,19:03:36,-0.787
35,28/07/21,19:07:06,-0.793
36,28/07/21,19:10:41,-0.8
37,28/07/21,19:14:17,-0.814
38,28/07/21,19:17:56,-0.791
39,28/07/21,19:39:17,-0.819
40,28/07/21,19:43:10,-0.801
41,28/07/21,19:46:39,-0.791
42,28/07/21,19:50:10,-0.807
43,28/07/21,19:53:40,-0.836
44,28/07/21,19:57:18,-0.822
45,28/07/21,20:00:52,-0.82
46,28/07/21,20:04:29,-0.793
47,28/07/21,20:08:01,-0.79
48,28/07/21,20:11:38,-0.807
49,28/07/21,20:15:12,-0.811
50,28/07/21,20:18:44,-0.819
51,28/07/21,20:22:18,-0.808
52,28/07/21,20:25:51,-0.825
53,28/07/21,20:30:09,-0.82
54,28/07/21,20:33:43,-0.818
55,28/07/21,20:37:19,-0.811
56,28/07/21,20:40:52,-0.807
57,28/07/21,20:44:25,-0.793
58,28/07/21,20:47:59,-0.805
59,28/07/21,20:51:29,-0.804
60,28/07/21,20:55:04,-0.821
61,28/07/21,20:58:36,-0.807
62,28/07/21,21:02:07,-0.807
63,28/07/21,21:05:43,-0.796
64,28/07/21,21:09:24,-0.791
65,28/07/21,21:13:02,-0.786
66,28/07/21,21:16:43,-0.771
67,28/07/21,21:20:21,-0.781
68,28/07/21,21:24:00,-0.792
69,28/07/21,21:27:29,-0.761
70,28/07/21,21:30:58,-0.781
71,28/07/21,21:34:32,-0.779
72,28/07/21,21:38:02,-0.782
73,28/07/21,21:41:34,-0.784
74,28/07/21,21:45:09,-0.765
75,28/07/21,21:48:40,-0.796
76,28/07/21,21:52:14,-0.77
77,28/07/21,21:55:51,-0.766
78,28/07/21,21:59:24,-0.771
79,28/07/21,22:03:04,-0.785
80,28/07/21,22:06:35,-0.794
81,28/07/21,22:10:14,-0.782
82,28/07/21,22:13:48,-0.759
