,Date,Time,Load
0,31/07/21,00:00:56,-0.804
1,31/07/21,00:04:55,-0.671
2,31/07/21,00:08:52,-0.804
3,31/07/21,00:12:49,-0.949
4,31/07/21,00:16:46,-0.867
5,31/07/21,00:20:50,-0.821
6,31/07/21,00:24:47,-1.245
7,31/07/21,00:28:40,-1.179
8,31/07/21,00:32:41,-1.095
9,31/07/21,00:36:44,-0.802
10,31/07/21,00:40:46,-0.863
11,31/07/21,00:44:40,-0.768
12,31/07/21,00:48:35,-0.905
13,31/07/21,00:52:40,-0.715
14,31/07/21,00:56:38,-0.809
15,31/07/21,01:00:40,-0.981
16,31/07/21,01:04:40,-0.889
17,31/07/21,01:08:46,-0.722
18,31/07/21,01:12:44,-0.816
19,31/07/21,01:16:43,-0.735
20,31/07/21,01:29:50,-1.441
21,31/07/21,01:30:58,-0.916
22,31/07/21,01:34:01,-0.794
23,31/07/21,01:37:25,-0.931
24,31/07/21,01:40:17,-1.068
25,31/07/21,01:45:33,-1.168
26,31/07/21,01:52:50,-1.049
27,31/07/21,01:57:57,-1.074
28,31/07/21,02:01:18,-1.103
29,31/07/21,02:05:42,-1.152
30,31/07/21,02:09:10,-1.161
31,31/07/21,02:11:11,-1.17
32,31/07/21,02:14:01,-1.211
33,31/07/21,02:16:38,-0.8
34,31/07/21,02:19:39,-1.421
35,31/07/21,02:20:05,-1.105
36,31/07/21,02:23:31,-0.903
37,31/07/21,02:26:45,-0.822
38,31/07/21,02:31:47,-0.846
39,31/07/21,02:38:54,-1.332
40,31/07/21,02:45:16,-1.076
41,31/07/21,02:54:55,-1.217
42,31/07/21,02:57:17,-0.973
43,31/07/21,03:03:03,-0.848
44,31/07/21,03:09:35,-1.13
45,31/07/21,03:16:30,-1.031
46,31/07/21,03:19:34,-1.108
47,31/07/21,03:22:25,-0.944
48,31/07/21,03:30:36,-0.918
49,31/07/21,03:37:01,-0.834
50,31/07/21,12:04:22,-0.967
51,31/07/21,12:09:02,-0.952
52,31/07/21,12:38:09,-0.953
53,31/07/21,12:50:51,-0.756
54,31/07/21,12:54:56,-0.788
55,31/07/21,12:57:47,-0.983
56,31/07/21,13:03:12,-0.913
57,31/07/21,13:08:09,-0.887
58,31/07/21,13:10:23,-0.929
59,31/07/21,13:13:00,-0.758
60,31/07/21,13:16:56,-0.453
61,31/07/21,13:19:06,-0.8
62,31/07/21,13:22:31,-0.611
63,31/07/21,13:26:06,-0.678
64,31/07/21,13:28:57,-0.889
65,31/07/21,13:34:51,-0.761
66,31/07/21,13:37:23,-0.876
67,31/07/21,13:40:13,-1.351
68,31/07/21,13:40:57,-0.735
69,31/07/21,13:42:07,-0.287
70,31/07/21,13:44:23,-0.8
71,31/07/21,13:45:30,-0.8
72,31/07/21,13:47:27,-0.8
73,31/07/21,13:49:58,-0.8
74,31/07/21,13:53:03,-0.155
75,31/07/21,13:56:33,-0.283
76,31/07/21,14:10:56,-0.806
77,31/07/21,14:13:37,-1.009
78,31/07/21,14:14:39,-0.955
79,31/07/21,14:17:42,-1.011
80,31/07/21,14:32:39,-0.241
81,31/07/21,14:38:40,-0.235
82,31/07/21,14:52:48,-0.379
