,Date,Time,Unmount
0,01/08/21,00:01:14,-0.727
1,01/08/21,00:02:23,-0.733
2,01/08/21,00:05:24,-0.751
3,01/08/21,00:07:00,-0.747
4,01/08/21,10:11:13,-0.84
5,01/08/21,10:17:25,-0.834
6,01/08/21,10:20:08,-0.838
7,01/08/21,10:22:19,-0.893
8,01/08/21,10:25:52,-0.849
9,01/08/21,10:28:00,-0.87
10,01/08/21,10:30:08,-0.881
11,01/08/21,10:33:35,-0.831
12,01/08/21,10:37:09,-0.851
13,01/08/21,10:49:06,-0.834
14,01/08/21,11:12:25,-0.842
15,01/08/21,11:14:38,-0.822
16,01/08/21,11:18:14,-0.835
17,01/08/21,11:21:36,-0.828
18,01/08/21,12:42:58,-0.829
19,01/08/21,13:12:12,-0.862
20,01/08/21,13:16:24,-0.85
21,01/08/21,13:19:10,-0.841
22,01/08/21,13:22:29,-0.818
23,01/08/21,13:28:01,-0.828
24,01/08/21,13:33:22,-0.804
25,01/08/21,13:37:38,-0.813
26,01/08/21,13:44:22,-0.827
27,01/08/21,13:47:40,-0.833
28,01/08/21,13:50:01,-0.826
29,01/08/21,13:55:10,-0.821
30,01/08/21,14:30:01,-0.756
31,01/08/21,14:43:43,-0.826
32,01/08/21,15:51:04,-0.757
