,Date,Time,Load
0,17/07/21,14:22:07,-1.04
1,17/07/21,14:29:18,-1.514
2,17/07/21,14:29:51,-0.885
3,17/07/21,14:34:40,-1.323
4,17/07/21,14:42:36,-1.27
5,17/07/21,14:48:22,-0.968
6,17/07/21,14:53:04,-0.76
7,17/07/21,14:56:15,-1.063
8,17/07/21,15:02:10,-0.899
9,17/07/21,15:08:16,-0.891
10,17/07/21,15:17:14,-0.604
11,17/07/21,15:19:44,-0.512
12,17/07/21,15:25:34,-0.391
13,17/07/21,15:27:27,-0.865
14,17/07/21,15:32:49,-0.37
15,17/07/21,15:38:43,-0.498
16,17/07/21,15:45:51,-0.214
17,17/07/21,15:51:47,-0.024
