,Date,Time,Load
0,17/06/21,09:27:53,-1.388
1,17/06/21,09:44:06,-1.319
2,17/06/21,09:53:09,-0.233
3,17/06/21,09:58:46,-0.65
4,17/06/21,10:04:53,-0.595
5,17/06/21,10:14:56,-1.296
6,17/06/21,10:18:43,-0.744
7,17/06/21,11:11:36,-0.856
8,17/06/21,11:21:19,-0.775
9,17/06/21,11:24:08,-1.0
10,17/06/21,11:27:12,-1.317
11,17/06/21,11:27:57,-0.727
12,17/06/21,11:33:28,-1.08
13,17/06/21,11:41:55,-0.813
14,17/06/21,11:53:51,-0.714
15,17/06/21,11:59:38,-1.161
16,17/06/21,12:04:24,-1.301
17,17/06/21,12:10:54,-1.212
18,17/06/21,12:17:02,-1.079
19,17/06/21,12:21:59,-0.227
20,17/06/21,12:27:37,-0.984
21,17/06/21,12:35:37,-0.845
22,17/06/21,12:42:17,-0.756
23,17/06/21,12:46:42,-0.889
24,17/06/21,12:51:31,-1.048
25,17/06/21,12:58:46,-1.147
26,17/06/21,13:14:17,-1.185
27,17/06/21,13:18:34,-0.77
28,17/06/21,13:25:52,-1.173
29,17/06/21,13:33:02,-0.423
30,17/06/21,13:39:35,-0.412
31,17/06/21,13:46:46,-0.445
32,17/06/21,13:54:10,-0.822
33,17/06/21,14:00:15,-0.73
34,17/06/21,14:06:40,-1.035
35,17/06/21,14:12:39,-1.052
36,17/06/21,14:15:00,-1.047
37,17/06/21,14:17:22,-0.184
38,17/06/21,14:22:13,-0.225
39,17/06/21,14:28:29,-0.45
40,17/06/21,14:31:07,-0.8
41,17/06/21,14:31:44,-0.8
42,17/06/21,14:35:12,-0.564
43,17/06/21,14:36:15,-0.874
44,17/06/21,14:38:26,-0.462
45,17/06/21,14:45:36,-0.8
46,17/06/21,14:50:28,-0.035
47,17/06/21,14:53:48,-0.8
48,17/06/21,14:56:06,-0.265
49,17/06/21,14:58:10,-0.639
50,17/06/21,15:00:35,-1.113
51,17/06/21,15:02:28,-0.833
52,17/06/21,15:04:18,-0.895
53,17/06/21,15:06:29,-0.809
54,17/06/21,15:08:44,-1.201
55,17/06/21,15:10:45,-1.187
56,17/06/21,15:15:05,-0.8
57,17/06/21,15:17:10,-0.288
58,17/06/21,15:20:09,-1.171
59,17/06/21,15:23:04,-1.259
60,17/06/21,15:23:42,-0.582
61,17/06/21,15:27:45,-1.134
62,17/06/21,15:30:50,-1.239
63,17/06/21,15:32:57,-0.85
64,17/06/21,15:36:59,-0.444
65,17/06/21,15:42:55,-0.518
66,17/06/21,15:47:22,-0.595
67,17/06/21,15:53:31,-0.377
68,17/06/21,15:59:36,-0.36
69,17/06/21,16:16:15,-1.162
70,17/06/21,16:23:05,-1.14
71,17/06/21,16:26:02,-0.908
72,17/06/21,16:31:24,-0.625
73,17/06/21,17:12:44,-0.628
74,17/06/21,17:21:54,-0.798
75,17/06/21,17:28:12,-0.19
76,17/06/21,17:29:07,-0.227
77,17/06/21,17:34:02,-0.792
78,17/06/21,17:36:32,-1.03
79,17/06/21,17:37:20,-0.952
80,17/06/21,17:43:00,-0.711
81,17/06/21,17:45:17,-0.999
82,17/06/21,17:48:13,-0.689
83,17/06/21,17:53:06,-0.626
