,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,,FMX afternoon,,FMX overnight,,,NYX morning,,NYX afternoon,,NYX overnight,,DATE
,,,,,,9 am -5 pm,Contact,4 pm-10 pm,Contact,10 pm - 7 am,Contact,,9 am -5 pm,,4 pm-10 pm,,10 pm - 7 am,,,9 am-3 pm,,4 pm-10 pm,,10 pm - 7 am,,
,JULY,1,Wed,M,,,,,,,,,,,,,,,,,,,,,,1
,,2,Thu,M,,,,,,,,,,,,,,,,,,,,,,2
,,3,Fri,M,,,,,,,,,,,,,,,,,,,,,,3
,,4,Sat,M/S,,,,,,,,,,,,,,,,,,,,,,4
,,5,Sun,S,,,,,,,,,,,,,,,,,,,,,,5
,,6,Mon,S/O,,beam commissioning,,,,,,,,,,,,,,,,,,,,6
,,7,Tue,O,,,,,,,,,,,,,,,,,,,,,,7
,,8,Wed,O,,amx team remote,,,,,,,BAG 305000-K,BA,,,,,,,,,,,,8
,,9,Thur,O,,amx team remote,,,,,,,BAG 305000-K,BA,,,,,,,,,,,,9
,,10,Fri,O,,BAG 305000-DK,,,,,,,BAG 305000-,WS,,,,,,,,,,,,10
,,11,Sat,O,,,,,,,,,,,,,,,,,,,,,,11
,,12,Sun,O,,,,,,,,,,,,,,,,,,,,,,12
,,13,Mon,O/M,,,,,,,,,,,,,,,,,,,,,,13
,,14,Tue,M/S,,,,,,,,,,,,,,,,,,,,,,14
,,15,Wed,S/O,,robot commissioning,,,,,,,,,,,,,,,,,,,,15
,,16,Thur,O,,BAG 305036,JJ,,,,,,PR 303851,WS,,,,,,,,,,,,16
,,17,Fri,O,,PR 303851,AS,,,,,,RA 306532,BA,,,,,,,,,,,,17
,,18,Sat,O,,,EL,,,,,,,WS,,,,,,,,,,,,18
,,19,Sun,O,,,,,,,,,,,,,,,,,,,,,,19
,,20,Mon,O,,BAG 305987,EL,,,,,,,,,,,,,,,,,,,20
,,21,Tue,O,,BAG305034,VS,,,,,,BAG 305046,WS,,,,,,,,,,,,21
,,22,Wed,O,,BAG 305042,DK,,,,,,BAG305421,BA,,,,,,,,,,,,22
,,23,Thu,O/I/S,,,,,,,,,,,,,,,,,,,,,,23
,,24,Fri,S,,,,WB slides,,,,,,,,,,,,,,,,,,24
,,25,Sat,S,,,,,,,,,,,,,,,,,,,,,,25
,,26,Sun,S,,,,,,,,,,,,,,,,,,,,,,26
,,27,Mon,S/O,,,,,,,,,,,BAG 305000-K,WS/BA,,,,,,,,,,27
,,28,Tue,O,,PR 303851,AS,,,,,,BAG 305037,WS,,,,,,,,,,,,28
,,29,Wed,O,,BAG 305035,JJ,,,,,,PR 303851,MF,,,,,,,,,,,,29
,,30,Thur,O,,Workbench,,,,,,,Workbench,,,,,,,,,,,,,30
,,31,Fri,O,,BAG 305034/Workbench,VS,,,,,,PR 306535/Workbench,MF,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,,AMX afternoon,,AMX overnight,,,FMX morning,,FMX afternoon,,FMX overnight,,,NYX morning,,NYX afternoon,,NYX overnight,,DATE
,,,,,,9 am - 3 pm,,4 pm-10 pm,,10 pm - 7 am,,,9 am - 3 pm,,4 pm-10 pm,,10 pm - 7 am,,,9 am-3 pm,,4 pm-10 pm,,10 pm - 7 am,,
,AUGUST,1,Sat,O,,RA 306566,JJ,,,,,,BAG 304983,MF,,,,,,,,,,,,1
,,2,Sun,O,,,,,,,,,,,,,,,,,,,,,,2
,,3,Mon,O/M,,pi test,EL,foating lid ,GSM,xrf detetor test,EL,,,,,,,,,,,,,,,3
