,,,,,,Maintenance,,,,Commissioning,,,xxxx,,Cancelled due to Machine problem,,xxxxx,rescheduled due to machine pb,,,,,,USER Rescheduled,,
,,,,,,Study,,,,Available,,,xxxx,,Cancelled due to beam line problem ,,xxxxx,rescheduled due to beamline problem pb,,,,,,User did not finish,,
,,,,,,,,,,Proprietary,,,,Reserved for groups with MANY Crystals,,,,,,,,,,User Cancelled,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,Local ,FMX afternoon,Local ,FMX overnight,Local ,,NYX morning,Local,NYX afternoon,Local,NYX overnight,Local,DATE
,,19,Sat,O,,,,,EL,,,,,,,WS,,,,,,,,,,19
,,20,Sun,O,,,,,EL,,,,PR 303851,,,WS,,,,,,,,,,20
,,21,Mon,O,,,,,DK,,,,,,,AS,,,,,,,,,,21
,,22,Tue,O/M,,,,,,,,,,,,,,,,,,,,,,22
,,23,Wed,M/S,,,,,,,,,,,,,,,,,,,,,,23
,,24,Thur,S/O,,BLC,,,,,,,BLC,,,,,,,,,,,,,24
,,25,Fri,O,,PR 306522,,,JJ,,,,BAG 308291,,,WS,,,,,,,,,,25
,,26,Sat,O,,BAG 305133,,,AS,,,,,,,BA,,,,,,,,,,26
,,27,Sun,O,,INHOUSE,,,,,,,INHOUSE,,,,,,,,,,,,,27
,,28,Mon,,,BAG 308552,,,DK,,,,BAG 305035,,,WS,,,,,,,,,,28
,,29,Tues,,,BAG 308223,,,EL,,,,BLC,,,,,,,SPARK workshop,,,,,,29
,,30,Wed,,,BLC,,,,,,,BAG 308552,,,MF,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,Local ,FMX afternoon,Local ,FMX overnight,Local ,,NYX morning,,NYX afternoon,,NYX overnight,,DATE
,,,,,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7 am,Contact,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7am,Contact,,9 am - 6 pm,,,,10 pm - 7 am,,
,JULY,1,Thu,O,,BAG 305041,,,EL,,,,PR 306524,,,BA,,,,,,,,,,1
,,2,Fri,O/I/S,,,,,,,,,,,,,,,,,,,,,,2
,,3,Sat,S,,,,,,,,,,,,,,,,,,,,,,3
,,4,Sun,S,,,,,,,,,,,,,,,,,,,,,,4
