,,,,,,Maintenance,,,,Commissioning,,,xxxx,,Cancelled due to Machine problem,,xxxxx,rescheduled due to machine pb,,,,,,USER Rescheduled,,,,,
,,,,,,Study,,,,Available,,,xxxx,,Cancelled due to beam line problem ,,xxxxx,rescheduled due to beamline problem pb,,,,,,User did not finish,,,,,
,,,,,,,,,,Proprietary,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,,FMX afternoon,,FMX overnight,,,NYX morning,,NYX afternoon,,NYX overnight,,DATE,,,
,,11,Wed,O,,BAG 305000,AS,DT,,BAG 305000,AS,,PR 303851,WS,PR 303851,WS,PR 303851,,,,,,,,,11,,,
,,12,Thu,O,,BAG 305034,AS,BAG305036,AS,BAG305036,AS,,,,Training New Users 17:00,,,,,,,,,,,12,,,
,,13,Fri,O,,GU 306367,DK,BAG305000,DK,,,,BAG 305040,MF,BAG 305040,MF,,,,,,,,,,13,,,
,,14,Sat,O,,BAG 305000,JJ,BAG 305000,JJ,,JJ,,BAG305000-BA,BA,BAG305000-BA,BA,,,,,,,,,,14,,,
,,15,Sun,O,,,JJ,,JJ,,,,,,,,,,,,,,,,,15,,,
,,16,Mon,O,,BAG 305035,DK,BAG 305035,DK,BAG 305035,DK,,BAG 306386,WS, BAG 305046,WS,BAG 305046,,,,,,,,,16,,,
,,17,Tue,M,,Sam 9-11am,,Connection Test start at 14:00,,,,,top-view,EL,Connection Test start at 14:00,,,,,,,,,,,17,,,
,,18,Wed,M/S,,,,CBMS Lecture Series - Rebecca Page PP1 holoenzyme formation and its regulation by intrinsically disordered proteins.,,,Dewar,,,,CBMS Lecture Series - Rebecca Page ,,,,,,,,,,,18,,,
,,19,Thur,O,,tour setup,,BAG 300500-FDATeam,EL,BAG 300500-FDATeam,EL,,,,BAG-305000-BA,BA,,,,,,,,,,19,,,
,,20,Fri,O,,PR 306522,AS,PR 303851,AS,PR 303851,AS,,BAG 306137,MF,BAG 305037,MF,BAG 305037,,,,,,,,,20,,,
,,21,Sat,O,,PR 303851,AS,PR 303851,AS,,EL,,BAG 305037,WS,,WS,,,,,,,,,,21,,,
,,22,Sun,O,,,EL,,EL,,,,,WS,,WS,,,,,,,,,,22,,,
,,23,Mon,O,,GU 306268,VS,GU 306268,VS,,,,BAG 305990,BA,,BA,,,,NYSBC,,NYSBC,,NYSBC,,23,,,
,,24,Tue,O,,BAG 305040,DK,BAG 305987,DK,BAG 305987,DK,,BAG 305421,AS,GU 306268,AS,GU 306268,,,BAG 305000,,BAG 305000,,BAG 305000,,24,,,
,,25,Wed,O/I/S,,,,,,,,,,,,,,,,,,,,,,25,,,
,,26,Thur,S,,,,,,Thanksgiving Holiday,,,,,,,Thanksgiving Holiday,,,,,,,,,26,,,
,,27,Fri,S,,,,,,Thanksgiving Holiday,,,,,,,Thanksgiving Holiday,,,,,,,,,27,,,
