exit,,,,,,Maintenance,,,,Commissioning,,,xxxx,,Cancelled due to Machine problem,,xxxxx,rescheduled due to machine pb,,,,,,USER Rescheduled,,
,,,,,,Study,,,,Available,,,xxxx,,Cancelled due to beam line problem ,,xxxxx,rescheduled due to beamline problem pb,,,,,,User did not finish,,
,,,,,,,,,,Proprietary,,,,,,,,,,,,,,User Cancelled,,
,,,,,,,,,,Reserved for groups with MANY Crystals,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,Local ,FMX afternoon,Local ,FMX overnight,Local ,,NYX morning,,NYX afternoon,,NYX overnight,,DATE
,,,,,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7 am,Contact,,9 am - 3 pm,Contact,4 pm-10 pm,Contact,10 pm - 7am,Contact,,9 am - 3 pm,,4 pm -10 pm,,10 pm - 7 am,,
,JANUARY,1,Fri,M - Holiday,,,,,,,,,,,,,,,,,,,,,,1
,,2,Sat,M,,,,,,,,,,,,,,,,,,,,,,2
,,3,Sun,M,,,,,,,,,,,,,,,,,,,,,,3
,,4,Mon,M,,,,,,,,,,,,,,,,,,,,,,4
,,5,Tue,M,,,,,,,,,,,,,,,,,,,,,,5
,,6,Wed,M,,,,,,,,,,,,,,,,,,,,,,6
,,7,Thu,M,,,,,,,,,,,,,,,,,,,,,,7
,,8,Fri,M,,,,,,,,,,,,,,,,,,,,,,8
,,9,Sat,M,,,,,,,,,,,,,,,,,,,,,,9
,,10,Sun,M,,,,,,,,,,,,,,,,,,,,,,10
,,11,Mon,M,,,,,,,,,,,,,,,,,,,,,,11
,,12,Tue,M,,,,,,,,,,,,,,,,,,,,,,12
,,13,Wed,M,,FMX testing,,,,,,,FMX testing,,,,,,,,,,,,,13
,,14,Thu,M,,,,,,,,,,,,,,,,,,,,,,14
,,15,Fri,M,,,,,,,,,,,,,,,,,,,,,,15
,,16,Sat,M,,,,,,,,,,,,,,,,,,,,,,16
,,17,Sun,M,,,,,,,,,,,,,,,,,,,,,,17
,,18,Mon,M - Holiday,,,,,,,,,,,,,,,,,,,,,,18
,,19,Tue,M,,AMX dewar teaching,,,,,,,,,,,,,,,,,,,,19
,,20,Wed,M,,CBMS Lecture Series - Cancelled,,,,,,,,,,,,,,,,,,,,20
,,21,Thu,M/S,,,,,,,,,,,,,,,,,,,,,,21
,,22,Fri,S,,AMX testing,,Connection Tests,,,,,,,Connection Tests,,Connection Tests,,,,,,,,,22
,,23,Sat,S,,,,,,,,,,,,,,,,,,,,,,23
,,24,Sun,S,,,,,,,,,,,,,,,,,,,,,,24
,,25,Mon,S/O,,,,BLC,,BLC,,,,,BLC,,BLC,,,,,,,,,25
,,26,Tue,O,,BLC,,BLC,,BLC,,,BLC,,BLC,,BLC,,,,,,,,,26
,,27,Wed,O,,BLC: Robot,,BLC,,BLC,,,BLC,,BLC: Robot,,BLC: Robot,,,,,,,,,27
,,28,Thu,O,,BLC,,BAG 305000,AS,BLC,,,BLC: He path,,BLC,,BLC,,,,,,,,,28
,,29,Fri,O,,BLC,,BLC,,BLC,,,BLC,,BLC,,BLC,,,,,,,,,29
,,30,Sat,O,,BLC,,GU 308082,,BLC,,,BLC,,BLC,,BLC,,,,,,,,,30
,,31,Sun,O,,BLC,,BAG 305000,AS,BLC,DEWAR,,BLC,,BLC,,BLC,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,Local ,FMX afternoon,Local ,FMX overnight,Local ,,NYX morning,,NYX afternoon,,NYX overnight,,DATE
,,,,,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7 am,Contact,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7am,Contact,,9 am-3 pm,,4 pm-10 pm,,10 pm - 7 am,,
,FEBRUARY,1,Mon,O,,BAG 305133,JJ,BAG 305013,JJ,BAG 305013,JJ,,BAG 305037,WS,BAG 305007,WS,BAG 305007,WS,,,,,,,,1
,,2,Tue,O/M,,,,,,,,,JA - vector definition,,,,,,,,,,,,,2
,,3,Wed,M/S,,,,,,,,,,,,,,, ,,,,,,,3
,,4,Thu,S/O,,BLC,,BAG305046,EL,BAG305046,EL,,BLC: He path,,BAG 306386,MF,BAG 306386,MF, ,,,,,,,4
,,5,Fri,O,,BAG 305987,AS,BAG 305987,AS,,AS,,BAG 305037,WS,PR 303851,WS,PR 303851,WS, ,,,,,,,5
,,6,Sat,O,,BAG 305018,DK,,DK,,DK,,GU 307857/RA 307539,BA,GU 307857,BA,GU 307857,BA,,,,,,,,6
,,7,Sun,O,,,,,,,DEWAR,,PR 303851,WS,,,,,,,,,,,,7
,,8,Mon,O,,BAG 305002,DK,BAG 305018,DK,BAG 305018,DK,,BAG 305000,WS,BAG 305421,WS,BAG 305421,WS,,,,,,,,8
,,9,Tue,O,,,WB,GU 305779,WB,GU 305779,WB,,,WB,GU 305779,WB,GU 305779,WB,,,,,,,,9
,,10,Wed,O,,BLC,,BAG 304983,EL,BAG 304983,EL,,"BLC: Snaphot, Bluesky",,PR 303851,AS,PR 303851,AS,,,,,,,,10
,,11,Thu,O,,PR 306524,AS,,AS,,AS,,PR 304319,MF,CRLs(?),MF,,MF,,,,,,,,11
,,12,Fri,O/I/S,,,,Connection Tests,,,,,JA/MF - Annealer,,Connection Tests,,Connection Tests,,,,,,,,,12
,,13,Sat,S,,,,,,,,,,,,,,,,,,,,,,13
,,14,Sun,S,,,,,,,DEWAR,,,,,,,,,,,,,,,14
,,15,Mon,S/O - Holiday, ,BLC,,,EL,,EL,,BLC,,BAG 305036,WS,BAG 305036,WS,,,,,,,,15
,,16,Tue,O,,GU 307870,AS,GU 307870,AS,,AS,,Mirror opt,WS,,WS,,WS,,,,,,,,16
,,17,Wed,O,,CBMS Lecture Series - Hugh O'Neil,,,EL, ,EL,,BAG 305040,MF,PR 303851,MF,PR 303851,MF,,,,,,,,17
,,18,Thu,O,,GU 306367,DK,BAG 305034,DK,,DK,,BLC,,BAG 305000,BA,BAG 305000,BA,,,,,,,,18
,,19,Fri,O,,BAG 305041,JJ,BAG 307708,JJ,,JJ,,PR 306522,AS,GU 306137,AS,GU 306137,AS,,,,,,,,19
,,20,Sat,O,,BAG 305035,AS,BAG 305035,AS,BAG 305035,AS,,PR 306522,BA,,BA,,BA,,,,,,,,20
,,21,Sun,O,,BAG 305035,AS,BAG 305035,AS,,DEWAR,,,BA,,BA,,BA,,,,,,,,21
,,22,Mon,O,,GU 307870/BAG 305447,DK/AS,GU 307870,AS,GU 307870,AS,,"JA - prefix valid., strat. computer",WS,,WS,,WS,,,,,,,,22
,,23,Tue,O/M,,puck vis Sam,,gap value log KQ,,,,,,,gap value log KQ,,,,,,,,,,,23
,,24,Wed,M/S,,,,,,,,,,,,,,,,,,,,,,24
,,25,Thur,S/O,,BLC,,BAG 305000,VS,,VS,,BLC,,PR 303851,BA,PR 303851,BA,,,,,,,,25
