,Cycle,Beamline,Year,Month,Day,Time
113,Cycle-1,FMX,2021,2,17,22:00-7:00
114,Cycle-1,FMX,2021,2,25,22:00-7:00
115,Cycle-1,AMX,2021,3,23,09:00-15:00
116,Cycle-1,AMX,2021,3,23,16:00-22:00
117,Cycle-1,AMX,2021,3,23,22:00-7:00
118,Cycle-1,FMX,2021,3,11,09:00-15:00
119,Cycle-1,FMX,2021,3,15,09:00-15:00
120,Cycle-1,FMX,2021,3,24,09:00-15:00
121,Cycle-1,FMX,2021,3,12,16:00-22:00
122,Cycle-1,FMX,2021,3,18,16:00-22:00
123,Cycle-1,FMX,2021,3,12,22:00-7:00
124,Cycle-1,FMX,2021,3,13,22:00-7:00
125,Cycle-1,FMX,2021,3,14,22:00-7:00
126,Cycle-1,FMX,2021,3,18,22:00-7:00
127,Cycle-1,FMX,2021,3,19,22:00-7:00
128,Cycle-2,AMX,2020,7,17,09:00-15:00
129,Cycle-2,AMX,2020,7,28,09:00-15:00
130,Cycle-2,FMX,2020,7,16,09:00-15:00
131,Cycle-2,FMX,2020,7,29,09:00-15:00
132,Cycle-2,FMX,2020,7,31,09:00-15:00
133,Cycle-2,AMX,2020,8,11,09:00-15:00
134,Cycle-2,AMX,2020,8,28,09:00-15:00
135,Cycle-2,AMX,2020,8,29,09:00-15:00
136,Cycle-2,AMX,2020,8,11,16:00-22:00
137,Cycle-2,AMX,2020,8,20,16:00-22:00
138,Cycle-2,AMX,2020,8,27,16:00-22:00
139,Cycle-2,AMX,2020,8,28,16:00-22:00
140,Cycle-2,AMX,2020,8,30,16:00-22:00
141,Cycle-2,AMX,2020,8,31,16:00-22:00
142,Cycle-2,AMX,2020,8,11,22:00-7:00
143,Cycle-2,AMX,2020,8,20,22:00-7:00
144,Cycle-2,AMX,2020,8,28,22:00-7:00
145,Cycle-2,AMX,2020,8,31,22:00-7:00
146,Cycle-2,FMX,2020,8,7,09:00-15:00
147,Cycle-2,FMX,2020,8,11,09:00-15:00
148,Cycle-2,FMX,2020,8,19,09:00-15:00
149,Cycle-2,FMX,2020,8,7,16:00-22:00
150,Cycle-2,FMX,2020,8,10,16:00-22:00
151,Cycle-2,FMX,2020,8,21,16:00-22:00
152,Cycle-2,FMX,2020,8,23,16:00-22:00
153,Cycle-2,FMX,2020,8,24,16:00-22:00
154,Cycle-2,FMX,2020,8,28,16:00-22:00
155,Cycle-2,FMX,2020,8,7,22:00-7:00
156,Cycle-2,FMX,2020,8,21,22:00-7:00
157,Cycle-2,FMX,2020,8,28,22:00-7:00
158,Cycle-2,AMX,2020,9,9,16:00-22:00
159,Cycle-2,FMX,2020,9,9,09:00-15:00
160,Cycle-2,FMX,2020,9,10,09:00-15:00
161,Cycle-2,FMX,2020,9,2,16:00-22:00
162,Cycle-2,FMX,2020,9,9,16:00-22:00
163,Cycle-2,FMX,2020,9,2,22:00-7:00
164,Cycle-2,FMX,2020,9,9,22:00-7:00
