,Date,Time,Load
0,03/03/21,12:48:57,-0.8
1,03/03/21,12:52:32,-0.8
2,03/03/21,12:54:34,-0.8
3,03/03/21,12:56:19,-0.8
4,03/03/21,12:58:04,-0.8
5,03/03/21,12:59:50,-0.8
6,03/03/21,13:01:35,-0.8
7,03/03/21,13:03:23,-0.8
8,03/03/21,13:05:08,-0.8
9,03/03/21,13:06:53,-0.8
10,03/03/21,13:08:39,-0.8
11,03/03/21,13:10:26,-0.981
12,03/03/21,13:12:12,-0.8
13,03/03/21,13:13:58,-0.8
14,03/03/21,13:15:43,-0.8
15,03/03/21,13:16:08,-0.8
16,03/03/21,13:17:54,-0.647
17,03/03/21,13:20:00,-0.8
18,03/03/21,13:22:16,-0.754
19,03/03/21,13:24:17,-0.729
20,03/03/21,13:26:17,-0.75
21,03/03/21,13:28:18,-0.829
22,03/03/21,13:55:23,-0.538
23,03/03/21,13:57:25,-0.8
24,03/03/21,13:59:25,-0.522
25,03/03/21,14:01:27,-0.751
26,03/03/21,14:24:11,-0.484
27,03/03/21,14:27:13,-0.727
28,03/03/21,14:29:12,-0.792
29,03/03/21,14:32:40,-0.835
30,03/03/21,14:34:43,-0.843
31,03/03/21,14:37:26,-0.685
32,03/03/21,14:39:30,-0.686
33,03/03/21,14:41:52,-0.913
34,03/03/21,14:47:12,-0.621
35,03/03/21,15:18:37,-0.695
36,03/03/21,15:41:12,-0.8
37,03/03/21,15:42:58,-0.8
38,03/03/21,15:44:41,-0.8
39,03/03/21,15:46:53,-0.8
40,03/03/21,15:48:39,-0.8
41,03/03/21,15:50:28,-0.8
42,03/03/21,15:52:07,-0.8
43,03/03/21,15:53:52,-0.8
44,03/03/21,16:00:30,-0.568
45,03/03/21,16:02:16,-0.8
46,03/03/21,16:04:00,-0.8
47,03/03/21,16:05:45,-0.8
48,03/03/21,16:07:31,-0.8
49,03/03/21,16:09:20,-0.8
50,03/03/21,16:11:06,-0.8
51,03/03/21,16:12:52,-0.8
52,03/03/21,16:14:38,-0.8
53,03/03/21,16:16:25,-0.8
54,03/03/21,16:18:12,-0.8
55,03/03/21,16:20:18,-0.8
56,03/03/21,16:22:04,-0.8
57,03/03/21,16:23:47,-0.8
58,03/03/21,16:25:31,-0.8
59,03/03/21,16:27:17,-0.8
60,03/03/21,16:29:03,-0.8
61,03/03/21,16:30:50,-0.578
62,03/03/21,16:32:35,-0.8
63,03/03/21,16:34:22,-0.8
64,03/03/21,16:36:08,-0.6
65,03/03/21,16:37:56,-0.747
66,03/03/21,16:42:44,-0.8
67,03/03/21,16:44:30,-0.75
68,03/03/21,16:46:16,-0.8
69,03/03/21,16:48:03,-0.471
70,03/03/21,16:49:49,-0.619
71,03/03/21,16:51:56,-0.845
72,03/03/21,16:53:41,-0.526
73,03/03/21,16:55:28,-0.768
74,03/03/21,16:57:17,-0.51
75,03/03/21,16:59:00,-0.612
76,03/03/21,17:00:46,-0.49
77,03/03/21,17:02:33,-0.602
78,03/03/21,17:15:33,-0.581
79,03/03/21,17:17:20,-0.618
80,03/03/21,17:19:07,-1.067
