,Date,Time,Load
0,09/07/21,09:34:21,-1.039
1,09/07/21,09:45:30,-0.893
2,09/07/21,09:54:55,-1.031
3,09/07/21,10:03:17,-0.92
4,09/07/21,10:11:50,-0.752
5,09/07/21,10:18:07,-0.922
6,09/07/21,10:29:36,-1.532
7,09/07/21,10:30:01,-1.293
8,09/07/21,10:35:38,-0.992
9,09/07/21,10:50:57,-0.863
10,09/07/21,10:59:02,-0.965
11,09/07/21,11:04:58,-0.8
12,09/07/21,11:07:50,-0.779
13,09/07/21,11:11:19,-0.808
14,09/07/21,11:15:03,-0.668
15,09/07/21,11:18:00,-0.751
16,09/07/21,11:20:50,-0.82
17,09/07/21,11:23:27,-1.051
18,09/07/21,11:26:46,-1.073
19,09/07/21,11:31:44,-1.075
20,09/07/21,11:34:41,-1.128
21,09/07/21,11:37:42,-1.246
22,09/07/21,11:44:21,-1.022
23,09/07/21,11:51:36,-0.97
24,09/07/21,12:02:32,-1.088
25,09/07/21,12:11:04,-0.934
26,09/07/21,12:12:50,-1.004
27,09/07/21,12:15:42,-0.962
28,09/07/21,12:19:39,-0.758
29,09/07/21,12:35:03,-1.253
30,09/07/21,12:36:53,-0.899
31,09/07/21,12:43:11,-0.848
32,09/07/21,12:50:54,-0.8
33,09/07/21,12:57:15,-1.339
34,09/07/21,13:01:13,-0.971
35,09/07/21,13:08:54,-1.038
36,09/07/21,13:15:23,-0.83
37,09/07/21,13:22:30,-0.868
38,09/07/21,13:33:04,-0.694
39,09/07/21,13:35:53,-0.8
40,09/07/21,13:43:40,-0.974
41,09/07/21,13:55:59,-1.405
42,09/07/21,13:59:35,-0.669
43,09/07/21,14:07:47,-0.977
44,09/07/21,14:14:13,-1.285
45,09/07/21,14:21:11,-1.018
46,09/07/21,14:28:29,-1.276
47,09/07/21,14:34:49,-0.947
48,09/07/21,14:40:29,-1.031
49,09/07/21,14:47:06,-0.997
50,09/07/21,14:54:03,-1.053
51,09/07/21,14:56:12,-0.977
52,09/07/21,15:09:56,-1.087
53,09/07/21,15:13:14,-1.142
54,09/07/21,15:17:03,-1.121
55,09/07/21,15:19:37,-0.835
56,09/07/21,15:28:25,-1.003
57,09/07/21,15:40:27,-1.036
58,09/07/21,15:49:12,-1.639
59,09/07/21,15:49:38,-1.196
60,09/07/21,15:54:31,-0.975
61,09/07/21,15:55:08,-1.25
62,09/07/21,16:03:07,-1.499
63,09/07/21,16:03:33,-1.245
64,09/07/21,16:12:34,-1.167
65,09/07/21,16:19:15,-1.34
66,09/07/21,16:27:30,-0.914
67,09/07/21,16:37:14,-0.943
68,09/07/21,16:39:56,-1.57
69,09/07/21,16:40:21,-1.225
70,09/07/21,16:43:32,-1.054
71,09/07/21,16:50:29,-1.13
72,09/07/21,16:52:36,-0.83
73,09/07/21,16:58:35,-0.894
74,09/07/21,17:08:58,-0.943
75,09/07/21,17:12:48,-1.658
76,09/07/21,17:13:14,-0.94
77,09/07/21,17:21:36,-1.036
