,Date,Time,Unmount
0,23/03/21,09:03:52,-0.736
1,23/03/21,09:10:42,-0.724
2,23/03/21,09:16:37,-0.704
3,23/03/21,09:22:25,-0.69
4,23/03/21,09:27:57,-0.691
5,23/03/21,09:28:58,-0.707
6,23/03/21,09:35:29,-0.712
7,23/03/21,09:36:57,-0.702
8,23/03/21,09:42:45,-0.662
9,23/03/21,09:46:46,-0.665
10,23/03/21,09:50:14,-0.674
11,23/03/21,09:52:42,-0.666
12,23/03/21,09:55:36,-0.674
13,23/03/21,09:58:31,-0.671
14,23/03/21,10:03:11,-0.639
15,23/03/21,10:07:53,-0.654
16,23/03/21,10:10:06,-0.662
17,23/03/21,10:10:52,-0.654
18,23/03/21,10:14:56,-0.647
19,23/03/21,10:20:20,-0.65
20,23/03/21,10:46:18,-0.597
21,23/03/21,10:57:08,-0.8
22,23/03/21,11:04:29,-0.66
23,23/03/21,11:06:40,-0.644
24,23/03/21,11:11:47,-0.644
25,23/03/21,11:33:59,-0.657
26,23/03/21,11:42:39,-0.64
27,23/03/21,11:47:31,-0.633
28,23/03/21,11:50:55,-0.65
29,23/03/21,11:59:54,-0.64
30,23/03/21,12:08:43,-0.64
31,23/03/21,12:12:12,-0.625
32,23/03/21,12:22:56,-0.657
33,23/03/21,12:31:37,-0.625
34,23/03/21,12:43:44,-0.608
35,23/03/21,12:50:52,-0.643
36,23/03/21,12:58:51,-0.623
37,23/03/21,13:07:53,-0.614
38,23/03/21,13:15:06,-0.615
39,23/03/21,13:24:32,-0.599
40,23/03/21,13:31:00,-0.611
41,23/03/21,13:35:11,-0.612
42,23/03/21,13:38:00,-0.614
43,23/03/21,13:39:02,-0.619
44,23/03/21,13:41:25,-0.61
45,23/03/21,13:43:57,-0.61
46,23/03/21,15:37:39,-0.8
47,23/03/21,15:45:13,-0.681
48,23/03/21,15:50:30,-0.656
49,23/03/21,15:57:23,-0.651
50,23/03/21,16:07:28,-0.682
51,23/03/21,16:13:55,-0.661
52,23/03/21,16:17:08,-0.649
53,23/03/21,16:25:18,-0.624
54,23/03/21,16:28:19,-0.632
55,23/03/21,16:31:08,-0.657
56,23/03/21,16:37:04,-0.643
57,23/03/21,16:42:32,-0.624
58,23/03/21,16:52:34,-0.625
59,23/03/21,16:55:27,-0.633
60,23/03/21,16:58:48,-0.624
61,23/03/21,17:02:42,-0.8
62,23/03/21,17:05:09,-0.634
63,23/03/21,17:08:44,-0.62
64,23/03/21,17:10:46,-0.61
65,23/03/21,17:16:15,-0.645
66,23/03/21,17:19:49,-0.622
67,23/03/21,17:35:30,-0.592
68,23/03/21,17:49:50,-0.8
69,23/03/21,17:56:09,-0.8
70,23/03/21,18:08:35,-0.8
71,23/03/21,18:43:11,-0.8
72,23/03/21,19:18:56,-0.633
73,23/03/21,19:21:47,-0.8
74,23/03/21,19:24:45,-0.619
75,23/03/21,19:27:43,-0.631
76,23/03/21,19:31:02,-0.646
77,23/03/21,19:34:00,-0.8
78,23/03/21,19:36:36,-0.661
79,23/03/21,19:39:39,-0.638
80,23/03/21,19:42:33,-0.8
81,23/03/21,19:46:44,-0.632
82,23/03/21,19:49:57,-0.634
83,23/03/21,19:55:46,-0.8
84,23/03/21,19:59:40,-0.8
85,23/03/21,20:02:39,-0.8
86,23/03/21,20:08:12,-0.8
87,23/03/21,20:15:47,-0.629
88,23/03/21,20:18:39,-0.63
89,23/03/21,20:23:24,-0.8
90,23/03/21,20:25:54,-0.8
91,23/03/21,20:30:26,-0.629
92,23/03/21,20:40:01,-0.603
93,23/03/21,20:47:22,-0.621
94,23/03/21,20:57:28,-0.8
95,23/03/21,21:00:14,-0.63
96,23/03/21,21:02:46,-0.622
97,23/03/21,21:06:44,-0.608
98,23/03/21,21:41:26,-0.8
99,23/03/21,21:46:36,-0.8
100,23/03/21,21:50:32,-0.64
101,23/03/21,21:53:06,-0.8
102,23/03/21,22:09:26,-0.8
103,23/03/21,22:12:45,-0.641
104,23/03/21,22:15:05,-0.8
105,23/03/21,22:18:16,-0.8
106,23/03/21,22:28:11,-0.8
107,23/03/21,22:35:57,-0.63
108,23/03/21,22:42:31,-0.601
109,23/03/21,22:47:20,-0.612
110,23/03/21,22:52:24,-0.639
111,23/03/21,22:54:49,-0.8
112,23/03/21,23:00:30,-0.8
113,23/03/21,23:03:08,-0.8
114,23/03/21,23:05:56,-0.636
115,23/03/21,23:08:27,-0.619
116,23/03/21,23:15:00,-0.609
117,23/03/21,23:17:22,-0.635
118,23/03/21,23:21:56,-0.8
119,23/03/21,23:24:22,-0.626
120,23/03/21,23:26:58,-0.63
121,23/03/21,23:52:59,-0.573
122,23/03/21,23:58:26,-0.598
