,Date,Time,Unmount
0,08/06/21,11:27:22,-0.832
1,08/06/21,11:57:20,-0.823
2,08/06/21,12:17:14,-0.782
3,08/06/21,13:43:11,-0.769
4,08/06/21,13:51:35,-0.823
5,08/06/21,13:55:23,-0.8
6,08/06/21,13:59:07,-0.736
7,08/06/21,14:07:02,-0.805
8,08/06/21,14:11:30,-0.785
9,08/06/21,14:16:28,-0.818
10,08/06/21,14:51:46,-0.823
11,08/06/21,14:58:16,-0.797
12,08/06/21,15:13:52,-0.762
13,08/06/21,15:24:43,-0.805
14,08/06/21,15:33:30,-0.82
15,08/06/21,15:39:21,-0.838
16,08/06/21,15:45:19,-0.824
17,08/06/21,16:18:23,-0.805
18,08/06/21,16:23:41,-0.812
19,08/06/21,16:28:44,-0.802
20,08/06/21,16:40:35,-0.787
21,08/06/21,16:45:24,-0.799
22,08/06/21,17:03:08,-0.782
