,Date,Time,Unmount
0,01/07/21,10:10:37,-0.843
1,01/07/21,10:41:12,-0.826
2,01/07/21,10:45:56,-0.846
3,01/07/21,10:48:13,-0.849
4,01/07/21,10:51:45,-0.838
5,01/07/21,10:55:58,-0.832
6,01/07/21,10:59:32,-0.823
7,01/07/21,11:01:58,-0.816
8,01/07/21,11:05:03,-0.831
9,01/07/21,11:08:34,-0.793
10,01/07/21,11:11:05,-0.842
11,01/07/21,11:14:05,-0.827
12,01/07/21,11:17:18,-0.837
13,01/07/21,11:18:09,-0.846
14,01/07/21,11:20:28,-0.804
15,01/07/21,11:24:28,-0.818
16,01/07/21,11:27:23,-0.811
17,01/07/21,11:30:18,-0.803
18,01/07/21,11:32:55,-0.809
19,01/07/21,11:35:26,-0.819
20,01/07/21,11:37:53,-0.769
21,01/07/21,11:40:58,-0.833
22,01/07/21,11:43:34,-0.804
23,01/07/21,11:46:14,-0.786
24,01/07/21,11:50:42,-0.784
25,01/07/21,11:54:42,-0.764
26,01/07/21,11:57:18,-0.805
27,01/07/21,11:59:18,-0.793
28,01/07/21,12:04:51,-0.762
29,01/07/21,12:07:22,-0.792
30,01/07/21,12:09:48,-0.795
31,01/07/21,12:11:40,-0.772
32,01/07/21,12:14:28,-0.832
33,01/07/21,12:17:00,-0.784
34,01/07/21,12:19:22,-0.787
35,01/07/21,12:22:35,-0.784
36,01/07/21,12:26:08,-0.792
37,01/07/21,12:28:28,-0.784
38,01/07/21,12:31:12,-0.782
39,01/07/21,12:34:19,-0.789
40,01/07/21,12:37:59,-0.769
41,01/07/21,12:40:45,-0.756
42,01/07/21,12:44:15,-0.799
43,01/07/21,12:48:36,-0.772
44,01/07/21,12:51:14,-0.773
45,01/07/21,12:53:16,-0.802
46,01/07/21,12:56:11,-0.778
47,01/07/21,12:58:34,-0.78
48,01/07/21,13:00:56,-0.771
49,01/07/21,13:03:03,-0.772
50,01/07/21,13:05:17,-0.772
51,01/07/21,13:08:28,-0.754
52,01/07/21,13:10:38,-0.768
53,01/07/21,13:13:24,-0.786
54,01/07/21,13:14:15,-0.801
55,01/07/21,13:16:09,-0.779
56,01/07/21,13:18:24,-0.761
57,01/07/21,13:20:23,-0.759
58,01/07/21,13:22:55,-0.786
59,01/07/21,13:25:16,-0.764
60,01/07/21,13:30:16,-0.76
61,01/07/21,14:43:44,-0.802
62,01/07/21,15:03:42,-0.747
63,01/07/21,15:23:27,-0.728
64,01/07/21,15:43:07,-0.764
65,01/07/21,15:46:16,-0.753
66,01/07/21,16:06:49,-0.723
67,01/07/21,16:52:05,-0.742
68,01/07/21,17:00:27,-0.723
69,01/07/21,17:37:39,-0.852
70,01/07/21,18:30:03,-0.84
71,01/07/21,18:40:14,-0.826
72,01/07/21,19:07:14,-0.811
73,01/07/21,19:27:47,-0.808
74,01/07/21,19:40:17,-0.782
75,01/07/21,19:56:42,-0.806
76,01/07/21,20:11:00,-0.8
77,01/07/21,20:19:33,-0.777
78,01/07/21,20:28:42,-0.808
79,01/07/21,20:35:41,-0.809
80,01/07/21,20:44:55,-0.788
81,01/07/21,21:11:42,-0.784
