,Date,Time,Unmount
0,05/06/21,11:11:21,-0.869
1,05/06/21,11:28:34,-0.881
2,05/06/21,13:21:34,-0.826
3,05/06/21,13:36:34,-0.82
4,05/06/21,13:47:38,-0.816
5,05/06/21,13:55:52,-0.857
6,05/06/21,14:04:51,-0.813
7,05/06/21,14:26:28,-0.846
8,05/06/21,14:48:25,-0.829
9,05/06/21,14:59:36,-0.842
10,05/06/21,15:02:37,-0.85
11,05/06/21,15:12:05,-0.796
12,05/06/21,15:20:13,-0.787
13,05/06/21,15:32:00,-0.819
14,05/06/21,15:43:53,-0.766
15,05/06/21,15:55:06,-0.795
16,05/06/21,16:08:55,-0.805
17,05/06/21,16:19:54,-0.779
18,05/06/21,16:58:05,-0.772
19,05/06/21,17:12:12,-0.817
20,05/06/21,17:20:39,-0.805
21,05/06/21,17:32:04,-0.759
22,05/06/21,17:40:08,-0.788
23,05/06/21,17:44:22,-0.794
24,05/06/21,17:47:13,-0.782
25,05/06/21,17:58:34,-0.759
26,05/06/21,18:08:28,-0.767
27,05/06/21,18:51:06,-0.773
28,05/06/21,18:59:01,-0.759
29,05/06/21,19:02:03,-0.771
30,05/06/21,19:09:49,-0.745
31,05/06/21,19:17:25,-0.739
32,05/06/21,19:25:34,-0.795
33,05/06/21,19:37:56,-0.809
