,Date,Time,Load
0,10/08/21,08:49:51,-0.878
1,10/08/21,09:02:44,-0.621
2,10/08/21,09:19:47,-0.893
3,10/08/21,09:24:50,-0.745
4,10/08/21,09:28:22,-0.556
5,10/08/21,09:36:45,-0.497
6,10/08/21,10:16:52,-0.723
7,10/08/21,10:24:11,-0.819
8,10/08/21,10:37:45,-0.766
9,10/08/21,10:44:29,-0.817
10,10/08/21,10:50:35,-1.092
11,10/08/21,10:54:55,-1.078
12,10/08/21,10:58:26,-0.855
13,10/08/21,11:09:35,-0.786
14,10/08/21,11:15:54,-1.111
15,10/08/21,11:29:16,-0.884
16,10/08/21,11:38:19,-0.895
17,10/08/21,11:48:12,-1.107
18,10/08/21,11:57:46,-0.892
19,10/08/21,12:06:32,-0.703
20,10/08/21,12:07:57,-0.419
21,10/08/21,12:09:07,-0.718
22,10/08/21,12:09:59,-0.713
23,10/08/21,12:17:27,-0.718
24,10/08/21,12:21:55,-0.857
25,10/08/21,12:23:13,-0.898
26,10/08/21,12:24:25,-0.692
27,10/08/21,12:32:50,-0.692
28,10/08/21,12:42:10,-0.322
29,10/08/21,12:43:19,-0.861
30,10/08/21,12:46:12,-0.694
31,10/08/21,12:49:29,-0.831
32,10/08/21,12:54:29,-0.848
33,10/08/21,13:00:03,-0.638
34,10/08/21,13:03:47,-0.816
35,10/08/21,13:08:57,-0.654
36,10/08/21,13:12:13,-0.785
37,10/08/21,13:19:01,-1.018
38,10/08/21,13:32:36,-0.869
39,10/08/21,13:34:13,-0.89
40,10/08/21,13:45:11,-1.09
41,10/08/21,13:52:38,-0.888
42,10/08/21,13:55:14,-0.94
43,10/08/21,14:05:04,-0.969
44,10/08/21,14:10:40,-0.994
45,10/08/21,14:21:22,-1.006
46,10/08/21,14:31:45,-0.749
47,10/08/21,14:36:48,-1.057
48,10/08/21,14:41:03,-0.807
49,10/08/21,14:50:10,-0.85
50,10/08/21,14:56:18,-0.679
51,10/08/21,15:00:22,-0.947
52,10/08/21,15:06:46,-0.807
53,10/08/21,15:10:55,-0.648
54,10/08/21,15:14:15,-0.536
55,10/08/21,15:18:13,-0.943
56,10/08/21,15:22:25,-0.599
57,10/08/21,15:28:03,-0.606
58,10/08/21,15:39:20,-0.765
59,10/08/21,15:43:59,-0.94
60,10/08/21,15:53:06,-0.922
61,10/08/21,15:58:31,-0.697
62,10/08/21,15:59:31,-0.63
63,10/08/21,16:06:29,-1.011
64,10/08/21,16:11:44,-0.802
65,10/08/21,16:16:38,-0.773
66,10/08/21,16:24:12,-0.791
67,10/08/21,16:31:16,-0.988
68,10/08/21,16:39:13,-0.985
69,10/08/21,16:55:43,-0.954
70,10/08/21,16:59:23,-0.655
71,10/08/21,17:02:06,-0.683
72,10/08/21,17:09:06,-0.876
73,10/08/21,17:19:02,-1.022
74,10/08/21,17:24:30,-0.8
75,10/08/21,17:30:56,-0.983
76,10/08/21,17:37:42,-0.739
77,10/08/21,17:45:29,-0.642
78,10/08/21,18:23:57,-1.186
79,10/08/21,18:44:44,-1.355
80,10/08/21,18:54:31,-0.86
81,10/08/21,19:03:16,-0.953
82,10/08/21,19:09:03,-1.059
83,10/08/21,19:21:02,-1.288
84,10/08/21,19:28:58,-1.023
