,Date,Time,Load
0,26/06/21,08:56:58,0.0
1,26/06/21,08:58:01,-0.814
2,26/06/21,09:02:19,-0.752
3,26/06/21,09:08:19,-1.364
4,26/06/21,09:33:18,-1.112
5,26/06/21,09:41:26,-1.318
6,26/06/21,09:57:29,-1.234
7,26/06/21,10:18:35,-0.905
8,26/06/21,10:38:11,-1.16
9,26/06/21,10:45:57,-1.091
10,26/06/21,10:54:58,-0.997
11,26/06/21,11:03:27,-1.347
12,26/06/21,11:07:05,-1.46
13,26/06/21,11:16:54,-1.692
14,26/06/21,11:17:31,-0.937
15,26/06/21,11:19:09,-1.295
16,26/06/21,11:27:58,-0.928
17,26/06/21,11:30:39,-1.19
18,26/06/21,11:35:18,-1.584
19,26/06/21,11:40:56,-0.88
20,26/06/21,11:43:45,-0.934
21,26/06/21,11:50:22,-1.192
22,26/06/21,12:00:53,-1.428
23,26/06/21,12:01:26,-1.115
24,26/06/21,12:02:42,-1.336
25,26/06/21,12:11:16,-1.089
26,26/06/21,12:14:39,-1.328
27,26/06/21,12:21:12,-1.054
28,26/06/21,12:29:25,-1.325
29,26/06/21,12:30:45,-1.023
30,26/06/21,12:37:40,-1.094
31,26/06/21,12:44:56,-1.443
32,26/06/21,12:46:39,-1.168
33,26/06/21,12:54:25,-0.944
34,26/06/21,12:58:50,-0.892
35,26/06/21,13:05:52,-1.079
36,26/06/21,13:12:45,-0.899
37,26/06/21,13:19:37,-1.149
38,26/06/21,13:23:05,-1.041
39,26/06/21,13:32:48,-1.109
40,26/06/21,13:35:44,-0.834
41,26/06/21,13:42:38,-0.922
42,26/06/21,13:49:09,-0.996
43,26/06/21,13:52:18,-0.954
44,26/06/21,14:01:35,-1.086
45,26/06/21,14:05:48,-0.672
46,26/06/21,14:11:51,-0.808
47,26/06/21,14:14:38,-0.964
48,26/06/21,14:18:07,-0.771
49,26/06/21,14:26:22,-1.108
50,26/06/21,14:45:52,-1.088
51,26/06/21,14:53:27,-1.005
52,26/06/21,15:00:42,-1.16
53,26/06/21,15:07:45,-1.065
54,26/06/21,15:13:00,-0.811
55,26/06/21,15:22:10,-0.895
56,26/06/21,15:35:01,-1.121
57,26/06/21,15:42:42,-1.139
58,26/06/21,15:52:03,-0.948
59,26/06/21,15:59:08,-0.797
60,26/06/21,16:05:06,-0.579
61,26/06/21,16:05:44,-1.059
62,26/06/21,16:09:50,-0.85
