,Date,Time,Load
0,18/07/21,10:50:20,0.0
1,18/07/21,10:51:08,0.0
2,18/07/21,10:58:23,0.0
3,18/07/21,10:58:49,-0.759
4,18/07/21,11:18:59,-0.601
5,18/07/21,11:29:22,-1.22
6,18/07/21,11:40:30,-0.86
7,18/07/21,11:47:50,-0.659
8,18/07/21,11:54:37,-0.702
9,18/07/21,11:57:50,-0.784
10,18/07/21,12:05:07,-0.816
11,18/07/21,12:13:43,-0.602
12,18/07/21,12:17:36,-0.535
13,18/07/21,12:30:37,-0.746
14,18/07/21,12:34:18,-0.767
15,18/07/21,12:56:58,-1.309
16,18/07/21,12:57:39,-0.888
17,18/07/21,13:00:47,-0.68
18,18/07/21,13:04:23,-0.891
19,18/07/21,13:09:46,-0.519
20,18/07/21,13:22:44,-0.96
21,18/07/21,13:36:46,-0.758
22,18/07/21,13:41:42,-0.927
23,18/07/21,13:49:49,-0.794
24,18/07/21,14:04:47,-0.693
25,18/07/21,14:08:29,-0.769
26,18/07/21,14:18:35,-0.746
27,18/07/21,14:25:44,-0.673
28,18/07/21,14:36:24,-0.8
29,18/07/21,14:38:48,-0.8
30,18/07/21,14:48:58,-0.278
31,18/07/21,14:57:26,-0.575
32,18/07/21,15:06:22,-0.321
33,18/07/21,15:12:54,-0.8
34,18/07/21,15:19:29,-0.8
35,18/07/21,15:25:24,-0.8
36,18/07/21,15:33:23,-0.256
37,18/07/21,15:40:41,-0.933
38,18/07/21,15:41:19,-0.964
39,18/07/21,15:41:54,-0.906
40,18/07/21,15:52:06,-1.007
41,18/07/21,15:59:18,-0.866
42,18/07/21,16:03:06,-0.642
43,18/07/21,16:12:06,-0.085
44,18/07/21,16:20:30,-0.8
45,18/07/21,16:27:59,-0.777
46,18/07/21,16:30:47,-1.034
47,18/07/21,16:41:25,-0.744
48,18/07/21,16:49:12,-0.878
49,18/07/21,16:56:22,-0.993
50,18/07/21,17:03:23,-1.024
51,18/07/21,17:12:07,-0.818
52,18/07/21,17:19:54,-1.007
53,18/07/21,17:27:33,-1.138
54,18/07/21,17:36:01,-1.333
55,18/07/21,17:36:42,-1.205
56,18/07/21,17:45:26,-0.653
57,18/07/21,17:48:07,-0.869
58,18/07/21,17:53:29,-0.698
59,18/07/21,18:02:41,-1.107
60,18/07/21,18:05:11,-0.967
61,18/07/21,18:08:43,-1.014
62,18/07/21,18:19:57,-1.006
63,18/07/21,18:27:53,-0.739
64,18/07/21,18:30:09,-0.768
65,18/07/21,18:36:21,-0.84
66,18/07/21,18:42:11,-0.91
67,18/07/21,18:50:04,-0.895
68,18/07/21,18:56:39,-0.902
69,18/07/21,19:02:48,-1.124
70,18/07/21,19:08:25,-0.833
71,18/07/21,19:14:06,-0.9
72,18/07/21,19:18:22,-1.431
73,18/07/21,19:19:02,-1.152
74,18/07/21,19:25:08,-1.018
75,18/07/21,19:30:34,-0.74
76,18/07/21,19:35:47,-0.904
77,18/07/21,19:41:52,-0.702
78,18/07/21,20:01:57,-0.85
