,Date,Time,Unmount
0,09/07/21,09:45:16,-0.847
1,09/07/21,09:54:41,-0.843
2,09/07/21,10:03:03,-0.838
3,09/07/21,10:11:37,-0.846
4,09/07/21,10:17:53,-0.833
5,09/07/21,10:29:22,-0.83
6,09/07/21,10:35:24,-0.834
7,09/07/21,10:50:43,-0.805
8,09/07/21,10:58:47,-0.783
9,09/07/21,11:04:44,-0.797
10,09/07/21,11:07:36,-0.81
11,09/07/21,11:11:05,-0.791
12,09/07/21,11:14:50,-0.816
13,09/07/21,11:17:46,-0.785
14,09/07/21,11:20:36,-0.807
15,09/07/21,11:23:13,-0.8
16,09/07/21,11:26:12,-0.811
17,09/07/21,11:31:31,-0.761
18,09/07/21,11:34:27,-0.79
19,09/07/21,11:37:28,-0.772
20,09/07/21,11:44:07,-0.768
21,09/07/21,11:51:23,-0.767
22,09/07/21,12:02:18,-0.776
23,09/07/21,12:10:50,-0.782
24,09/07/21,12:12:16,-0.781
25,09/07/21,12:15:28,-0.745
26,09/07/21,12:19:26,-0.754
27,09/07/21,12:34:49,-0.777
28,09/07/21,12:36:19,-0.79
29,09/07/21,12:42:57,-0.719
30,09/07/21,12:50:41,-0.734
31,09/07/21,12:57:02,-0.749
32,09/07/21,13:00:59,-0.751
33,09/07/21,13:08:41,-0.76
34,09/07/21,13:15:09,-0.746
35,09/07/21,13:22:16,-0.751
36,09/07/21,13:32:50,-0.757
37,09/07/21,13:35:38,-0.756
38,09/07/21,13:43:27,-0.73
39,09/07/21,13:53:40,-0.756
40,09/07/21,13:59:01,-0.779
41,09/07/21,14:00:30,-0.763
42,09/07/21,14:13:59,-0.815
43,09/07/21,14:20:57,-0.826
44,09/07/21,14:28:16,-0.823
45,09/07/21,14:34:35,-0.806
46,09/07/21,14:40:15,-0.806
47,09/07/21,14:46:52,-0.812
48,09/07/21,14:53:49,-0.775
49,09/07/21,14:55:58,-0.81
50,09/07/21,15:09:21,-0.775
51,09/07/21,15:12:41,-0.787
52,09/07/21,15:16:50,-0.798
53,09/07/21,15:19:23,-0.825
54,09/07/21,15:28:12,-0.786
55,09/07/21,15:40:13,-0.769
56,09/07/21,15:48:58,-0.81
57,09/07/21,15:50:30,-0.787
58,09/07/21,15:54:55,-0.808
59,09/07/21,16:02:53,-0.817
60,09/07/21,16:12:19,-0.765
61,09/07/21,16:19:01,-0.804
62,09/07/21,16:27:17,-0.797
63,09/07/21,16:37:00,-0.792
64,09/07/21,16:39:41,-0.795
65,09/07/21,16:43:18,-0.82
66,09/07/21,16:50:15,-0.793
67,09/07/21,16:52:22,-0.814
68,09/07/21,16:58:21,-0.818
69,09/07/21,17:08:44,-0.788
70,09/07/21,17:12:35,-0.817
71,09/07/21,17:14:41,-0.815
72,09/07/21,17:38:58,-0.808
