,Date,Time,Unmount
0,10/07/21,11:59:31,0.0
1,10/07/21,12:10:46,-0.891
2,10/07/21,12:14:10,-0.885
3,10/07/21,12:54:55,-0.847
4,10/07/21,13:11:13,-0.87
5,10/07/21,13:17:30,-0.842
6,10/07/21,13:24:03,-0.841
7,10/07/21,13:29:16,-0.847
8,10/07/21,13:34:56,-0.822
9,10/07/21,13:39:41,-0.825
10,10/07/21,13:43:17,-0.826
11,10/07/21,13:46:49,-0.825
12,10/07/21,13:50:22,-0.834
13,10/07/21,14:07:41,-0.841
14,10/07/21,14:11:44,-0.844
15,10/07/21,14:16:10,-0.85
16,10/07/21,14:20:02,-0.817
17,10/07/21,14:25:12,-0.842
18,10/07/21,14:27:35,-0.829
19,10/07/21,14:29:28,-0.813
20,10/07/21,14:38:30,-0.806
21,10/07/21,14:40:18,-0.833
22,10/07/21,14:46:04,-0.791
23,10/07/21,14:51:19,-0.798
24,10/07/21,14:56:06,-0.808
25,10/07/21,15:00:35,-0.807
26,10/07/21,15:03:33,-0.779
27,10/07/21,15:19:26,-0.768
28,10/07/21,15:24:04,-0.783
29,10/07/21,15:29:32,-0.787
30,10/07/21,15:34:31,-0.822
31,10/07/21,15:39:12,-0.805
32,10/07/21,15:41:22,-0.797
33,10/07/21,15:46:15,-0.78
34,10/07/21,15:51:32,-0.79
35,10/07/21,15:56:19,-0.796
36,10/07/21,16:01:41,-0.808
37,10/07/21,16:06:50,-0.802
38,10/07/21,16:12:23,-0.783
39,10/07/21,16:17:02,-0.786
40,10/07/21,16:38:35,-0.779
41,10/07/21,16:43:25,-0.774
42,10/07/21,16:48:19,-0.788
43,10/07/21,16:53:26,-0.795
44,10/07/21,16:57:49,-0.787
45,10/07/21,17:02:07,-0.777
46,10/07/21,17:07:34,-0.772
47,10/07/21,17:13:40,-0.79
48,10/07/21,17:19:27,-0.771
49,10/07/21,17:24:52,-0.786
50,10/07/21,17:30:20,-0.776
51,10/07/21,17:35:18,-0.749
