,Date,Time,Unmount
0,27/05/21,10:45:36,-0.859
1,27/05/21,12:10:53,-0.798
2,27/05/21,12:15:58,-0.737
3,27/05/21,12:19:52,-0.781
4,27/05/21,12:23:38,-0.803
5,27/05/21,12:27:41,-0.81
6,27/05/21,12:31:17,-0.792
7,27/05/21,12:36:12,-0.823
8,27/05/21,12:40:09,-0.798
9,27/05/21,12:52:59,-0.757
10,27/05/21,12:57:15,-0.757
11,27/05/21,13:08:02,-0.807
12,27/05/21,13:15:44,-0.782
13,27/05/21,13:25:29,-0.756
14,27/05/21,13:34:51,-0.757
15,27/05/21,13:39:34,-0.814
16,27/05/21,13:45:04,-0.792
17,27/05/21,13:49:01,-0.767
18,27/05/21,13:53:13,-0.747
19,27/05/21,13:56:42,-0.781
20,27/05/21,14:00:12,-0.761
21,27/05/21,14:05:43,-0.742
22,27/05/21,14:26:41,-0.684
23,27/05/21,14:30:03,-0.794
24,27/05/21,14:31:26,-0.765
25,27/05/21,14:50:53,-0.82
26,27/05/21,15:23:52,-0.823
