,Date,Time,Load
0,08/06/21,10:56:59,-1.232
1,08/06/21,11:27:35,-0.983
2,08/06/21,12:10:25,-0.899
3,08/06/21,12:44:03,-0.694
4,08/06/21,13:43:25,-0.843
5,08/06/21,13:51:49,-0.89
6,08/06/21,13:55:36,-0.887
7,08/06/21,14:03:09,-0.828
8,08/06/21,14:07:16,-0.791
9,08/06/21,14:11:43,-0.784
10,08/06/21,14:38:13,-0.924
11,08/06/21,14:52:00,-1.026
12,08/06/21,14:58:30,-0.46
13,08/06/21,15:14:03,-1.134
14,08/06/21,15:24:57,-0.994
15,08/06/21,15:33:43,-1.063
16,08/06/21,15:39:35,-0.93
17,08/06/21,15:45:33,-1.125
18,08/06/21,16:18:37,-0.808
19,08/06/21,16:23:55,-0.776
20,08/06/21,16:28:58,-0.829
21,08/06/21,16:40:49,-1.259
22,08/06/21,16:41:22,-1.211
23,08/06/21,16:45:38,-0.937
