,Date,Time,Proximity Sensor 2
0,22/01/19,10:18:41,2.0182
1,22/01/19,10:18:52,2.0118
2,22/01/19,10:19:02,2.0111
3,22/01/19,10:19:12,2.0118
4,22/01/19,10:19:23,2.0103
5,22/01/19,10:19:33,2.0111
6,22/01/19,10:19:44,2.0146
7,22/01/19,10:19:54,2.0189
8,22/01/19,10:20:05,2.0225
9,22/01/19,10:20:15,2.0232
10,22/01/19,10:20:26,2.0204
11,22/01/19,10:20:36,2.0189
12,22/01/19,10:20:46,2.0139
13,22/01/19,10:20:57,2.0111
14,22/01/19,10:21:07,2.0103
15,22/01/19,10:21:18,2.0125
16,22/01/19,10:21:28,2.0154
17,22/01/19,10:21:39,2.0154
18,22/01/19,10:21:49,2.0154
19,22/01/19,10:21:59,2.0118
20,22/01/19,10:22:10,2.0103
21,22/01/19,10:22:20,2.0025
22,22/01/19,10:22:31,1.9982
23,22/01/19,10:22:41,1.9989
24,22/01/19,10:22:52,2.0025
25,22/01/19,10:23:02,2.0053
26,22/01/19,10:23:13,2.0046
27,22/01/19,10:23:23,2.006
28,22/01/19,10:23:33,2.0103
29,22/01/19,10:23:44,2.0111
30,22/01/19,10:23:54,2.0111
31,22/01/19,10:24:05,2.0082
32,22/01/19,10:24:15,2.0075
33,22/01/19,10:24:26,2.0096
34,22/01/19,10:24:36,2.0139
35,22/01/19,10:24:47,2.0139
36,22/01/19,10:24:57,2.0168
37,22/01/19,10:25:08,2.0168
38,22/01/19,10:25:18,2.0139
39,22/01/19,10:25:28,2.0139
40,22/01/19,10:25:39,2.0211
41,22/01/19,10:25:49,2.0247
42,22/01/19,10:26:00,2.0268
43,22/01/19,10:26:10,2.0261
44,22/01/19,10:26:21,2.0261
45,22/01/19,10:26:31,2.0232
46,22/01/19,10:26:41,2.0232
47,22/01/19,10:26:52,2.0211
48,22/01/19,10:27:02,2.0211
49,22/01/19,10:27:13,2.0182
50,22/01/19,10:27:23,2.0175
51,22/01/19,10:27:34,2.0154
52,22/01/19,10:27:44,2.0139
53,22/01/19,10:27:54,2.0154
54,22/01/19,10:28:05,2.0189
55,22/01/19,10:28:15,2.0175
56,22/01/19,10:28:26,2.0197
57,22/01/19,10:28:36,2.0268
58,22/01/19,10:28:47,2.0283
59,22/01/19,10:28:57,2.0297
60,22/01/19,10:29:08,2.0297
61,22/01/19,10:29:18,2.029
62,22/01/19,10:29:28,2.0283
63,22/01/19,10:29:39,2.0283
64,22/01/19,10:29:49,2.0261
65,22/01/19,10:30:00,2.0275
66,22/01/19,10:30:10,2.0211
67,22/01/19,10:30:21,2.0197
68,22/01/19,10:30:31,2.0182
69,22/01/19,10:30:41,2.0232
70,22/01/19,10:30:52,2.024
71,22/01/19,10:31:02,2.024
72,22/01/19,10:31:13,2.0232
73,22/01/19,10:31:23,2.0225
74,22/01/19,10:31:34,2.0211
75,22/01/19,10:31:44,2.0182
76,22/01/19,10:31:55,2.0154
77,22/01/19,10:32:05,2.0139
78,22/01/19,10:32:15,2.0175
79,22/01/19,10:32:26,2.0132
80,22/01/19,10:32:36,2.0103
