,Date,Time,Proximity Sensor 3
0,19/06/18,08:54:26,2.3515
1,19/06/18,08:54:36,2.353
2,19/06/18,08:54:46,2.3508
3,19/06/18,08:54:57,2.3429
4,19/06/18,08:55:06,2.3372
5,19/06/18,08:55:17,2.3308
6,19/06/18,08:55:27,2.3279
7,19/06/18,08:55:37,2.3207
8,19/06/18,08:55:47,2.3164
9,19/06/18,08:55:57,2.3114
10,19/06/18,08:56:07,2.3093
11,19/06/18,08:56:17,2.3085
12,19/06/18,08:56:27,2.3121
13,19/06/18,08:56:37,2.3078
14,19/06/18,08:56:47,2.3064
15,19/06/18,08:56:57,2.3064
16,19/06/18,08:57:07,2.3064
17,19/06/18,08:57:17,2.3064
18,19/06/18,08:57:27,2.3071
19,19/06/18,08:57:37,2.3057
20,19/06/18,08:57:47,2.3057
21,19/06/18,08:57:58,2.3064
22,19/06/18,08:58:07,2.3057
23,19/06/18,08:58:17,2.3035
24,19/06/18,08:58:28,2.3035
25,19/06/18,08:58:37,2.305
26,19/06/18,08:58:47,2.3064
27,19/06/18,08:58:58,2.3064
28,19/06/18,08:59:07,2.3035
29,19/06/18,08:59:18,2.3028
30,19/06/18,08:59:28,2.3035
31,19/06/18,08:59:38,2.3042
32,19/06/18,08:59:48,2.3042
33,19/06/18,08:59:58,2.3057
34,19/06/18,09:00:07,2.305
35,19/06/18,09:00:18,2.3057
36,19/06/18,09:00:28,2.3078
37,19/06/18,09:00:38,2.3057
38,19/06/18,09:00:48,2.3028
39,19/06/18,09:00:58,2.2999
40,19/06/18,09:01:08,2.2985
41,19/06/18,09:01:18,2.2999
42,19/06/18,09:01:28,2.3014
43,19/06/18,09:01:37,2.3028
44,19/06/18,09:01:47,2.3057
45,19/06/18,09:01:58,2.3057
46,19/06/18,09:02:07,2.3057
47,19/06/18,09:02:18,2.3035
48,19/06/18,09:02:27,2.3042
49,19/06/18,09:02:37,2.3035
50,19/06/18,09:02:47,2.3035
51,19/06/18,09:02:58,2.305
52,19/06/18,09:03:07,2.3035
53,19/06/18,09:03:17,2.3006
54,19/06/18,09:03:28,2.2985
55,19/06/18,09:03:37,2.2985
56,19/06/18,09:03:48,2.2963
57,19/06/18,09:03:58,2.2956
58,19/06/18,09:04:08,2.2942
59,19/06/18,09:04:18,2.2956
60,19/06/18,09:04:28,2.2985
61,19/06/18,09:04:37,2.2992
62,19/06/18,09:04:48,2.2992
63,19/06/18,09:04:58,2.3028
64,19/06/18,09:05:08,2.3014
65,19/06/18,09:05:18,2.3028
66,19/06/18,09:05:29,2.3006
67,19/06/18,09:05:38,2.2985
68,19/06/18,09:05:48,2.2942
69,19/06/18,09:05:58,2.2949
70,19/06/18,09:06:08,2.2949
71,19/06/18,09:06:18,2.2971
72,19/06/18,09:06:28,2.2942
73,19/06/18,09:06:38,2.2935
74,19/06/18,09:06:48,2.2942
75,19/06/18,09:06:58,2.2949
76,19/06/18,09:07:08,2.2963
77,19/06/18,09:07:18,2.2949
78,19/06/18,09:07:28,2.2956
79,19/06/18,09:07:38,2.2949
80,19/06/18,09:07:48,2.2971
81,19/06/18,09:07:58,2.2992
82,19/06/18,09:08:08,2.2956
83,19/06/18,09:08:18,2.2942
84,19/06/18,09:08:28,2.2935
85,19/06/18,09:08:38,2.2935
86,19/06/18,09:08:48,2.2942
87,19/06/18,09:08:59,2.292
88,19/06/18,09:09:08,2.2913
89,19/06/18,09:09:18,2.2935
90,19/06/18,09:09:29,2.292
91,19/06/18,09:09:38,2.2956
92,19/06/18,09:09:48,2.2963
93,19/06/18,09:09:58,2.2985
94,19/06/18,09:10:08,2.2992
95,19/06/18,09:10:18,2.2971
96,19/06/18,09:10:28,2.2992
97,19/06/18,09:10:38,2.2942
98,19/06/18,09:10:48,2.292
99,19/06/18,09:10:58,2.2885
100,19/06/18,09:11:08,2.2892
101,19/06/18,09:11:18,2.2899
102,19/06/18,09:11:28,2.2906
103,19/06/18,09:11:38,2.2892
104,19/06/18,09:11:48,2.2935
105,19/06/18,09:11:58,2.2935
106,19/06/18,09:12:08,2.2963
107,19/06/18,09:12:18,2.292
108,19/06/18,09:12:28,2.292
109,19/06/18,09:12:38,2.2913
110,19/06/18,09:12:48,2.292
111,19/06/18,09:12:58,2.2942
112,19/06/18,09:13:08,2.2899
113,19/06/18,09:13:18,2.2892
114,19/06/18,09:13:28,2.2899
115,19/06/18,09:13:38,2.2899
116,19/06/18,09:13:48,2.2899
117,19/06/18,09:13:58,2.2899
118,19/06/18,09:14:08,2.2892
119,19/06/18,09:14:18,2.2899
120,19/06/18,09:14:28,2.2913
121,19/06/18,09:14:38,2.2913
122,19/06/18,09:14:48,2.2913
123,19/06/18,09:14:59,2.2935
124,19/06/18,09:15:08,2.292
125,19/06/18,09:15:18,2.2913
126,19/06/18,09:15:29,2.2885
127,19/06/18,09:15:39,2.2863
128,19/06/18,09:15:49,2.282
129,19/06/18,09:15:59,2.2827
130,19/06/18,09:16:09,2.2827
131,19/06/18,09:16:19,2.2863
132,19/06/18,09:16:29,2.2877
133,19/06/18,09:16:39,2.2885
134,19/06/18,09:16:49,2.2899
135,19/06/18,09:17:00,2.2913
136,19/06/18,09:17:10,2.2899
137,19/06/18,09:17:20,2.287
138,19/06/18,09:17:30,2.287
139,19/06/18,09:17:40,2.2849
140,19/06/18,09:17:50,2.2827
141,19/06/18,09:18:01,2.282
142,19/06/18,09:18:10,2.2827
143,19/06/18,09:18:20,2.2842
144,19/06/18,09:18:31,2.2849
145,19/06/18,09:18:40,2.287
146,19/06/18,09:18:50,2.2885
147,19/06/18,09:19:01,2.2863
148,19/06/18,09:19:11,2.2877
149,19/06/18,09:19:21,2.2877
150,19/06/18,09:19:31,2.2849
151,19/06/18,09:19:41,2.2877
152,19/06/18,09:19:51,2.2892
153,19/06/18,09:20:01,2.2877
154,19/06/18,09:20:11,2.2856
155,19/06/18,09:20:21,2.287
156,19/06/18,09:20:31,2.2863
157,19/06/18,09:20:41,2.2842
158,19/06/18,09:20:52,2.2842
159,19/06/18,09:21:02,2.282
160,19/06/18,09:21:12,2.2813
161,19/06/18,09:21:22,2.2827
162,19/06/18,09:21:32,2.287
163,19/06/18,09:21:42,2.287
164,19/06/18,09:21:52,2.2899
165,19/06/18,09:22:03,2.2913
166,19/06/18,09:22:13,2.2892
167,19/06/18,09:22:23,2.2877
168,19/06/18,09:22:33,2.2842
169,19/06/18,09:22:43,2.2813
170,19/06/18,09:22:53,2.2806
171,19/06/18,09:23:03,2.2799
172,19/06/18,09:23:13,2.2791
173,19/06/18,09:23:22,2.2799
174,19/06/18,09:23:33,2.2813
175,19/06/18,09:23:43,2.2827
176,19/06/18,09:23:53,2.2827
177,19/06/18,09:24:03,2.282
178,19/06/18,09:24:13,2.2842
179,19/06/18,09:24:23,2.2842
180,19/06/18,09:24:34,2.282
181,19/06/18,09:24:44,2.2813
182,19/06/18,09:24:54,2.2813
183,19/06/18,09:25:04,2.2799
184,19/06/18,09:25:14,2.2813
185,19/06/18,09:25:24,2.282
186,19/06/18,09:25:34,2.282
187,19/06/18,09:25:45,2.2799
188,19/06/18,09:25:55,2.2777
189,19/06/18,09:26:05,2.2763
190,19/06/18,09:26:15,2.2763
191,19/06/18,09:26:25,2.2763
192,19/06/18,09:26:36,2.2777
193,19/06/18,09:26:46,2.2777
194,19/06/18,09:26:56,2.2799
195,19/06/18,09:27:06,2.2806
196,19/06/18,09:27:17,2.2813
197,19/06/18,09:27:27,2.2799
198,19/06/18,09:27:37,2.2777
199,19/06/18,09:27:47,2.2777
200,19/06/18,09:27:57,2.2763
201,19/06/18,09:28:08,2.2727
202,19/06/18,09:28:18,2.2734
203,19/06/18,09:28:28,2.2741
204,19/06/18,09:28:38,2.2763
205,19/06/18,09:28:48,2.2777
206,19/06/18,09:28:59,2.277
207,19/06/18,09:29:09,2.2756
208,19/06/18,09:29:19,2.2734
209,19/06/18,09:29:29,2.2741
210,19/06/18,09:29:39,2.2777
211,19/06/18,09:29:50,2.2784
212,19/06/18,09:30:00,2.2791
213,19/06/18,09:30:10,2.2791
214,19/06/18,09:30:20,2.2806
215,19/06/18,09:30:31,2.2777
216,19/06/18,09:30:41,2.2756
217,19/06/18,09:30:51,2.2734
218,19/06/18,09:31:01,2.2734
219,19/06/18,09:31:11,2.272
220,19/06/18,09:31:22,2.272
221,19/06/18,09:31:32,2.2713
222,19/06/18,09:31:42,2.2734
223,19/06/18,09:31:52,2.2763
224,19/06/18,09:32:02,2.2791
225,19/06/18,09:32:13,2.2791
226,19/06/18,09:32:23,2.2784
227,19/06/18,09:32:33,2.2734
228,19/06/18,09:32:43,2.2713
229,19/06/18,09:32:53,2.2713
230,19/06/18,09:33:04,2.2741
231,19/06/18,09:33:14,2.2741
232,19/06/18,09:33:24,2.277
233,19/06/18,09:33:34,2.2763
234,19/06/18,09:33:44,2.272
235,19/06/18,09:33:55,2.272
236,19/06/18,09:34:05,2.2713
237,19/06/18,09:34:15,2.2705
238,19/06/18,09:34:25,2.2713
239,19/06/18,09:34:36,2.2713
240,19/06/18,09:34:46,2.272
241,19/06/18,09:34:56,2.272
242,19/06/18,09:35:06,2.2713
243,19/06/18,09:35:16,2.2705
244,19/06/18,09:35:26,2.2705
245,19/06/18,09:35:36,2.2713
246,19/06/18,09:35:46,2.2705
247,19/06/18,09:35:57,2.2698
248,19/06/18,09:36:07,2.2677
249,19/06/18,09:36:17,2.267
250,19/06/18,09:36:27,2.2684
251,19/06/18,09:36:38,2.2713
252,19/06/18,09:36:48,2.2741
253,19/06/18,09:36:58,2.2763
254,19/06/18,09:37:08,2.2756
255,19/06/18,09:37:19,2.2734
256,19/06/18,09:37:29,2.272
257,19/06/18,09:37:39,2.2705
258,19/06/18,09:37:49,2.2677
259,19/06/18,09:38:00,2.2662
260,19/06/18,09:38:09,2.2662
261,19/06/18,09:38:20,2.2677
262,19/06/18,09:38:29,2.2691
263,19/06/18,09:38:40,2.2691
264,19/06/18,09:38:50,2.2698
265,19/06/18,09:39:00,2.2691
266,19/06/18,09:39:10,2.2705
267,19/06/18,09:39:21,2.2698
268,19/06/18,09:39:31,2.2684
269,19/06/18,09:39:41,2.2684
270,19/06/18,09:39:51,2.2691
271,19/06/18,09:40:02,2.2705
272,19/06/18,09:40:12,2.2713
273,19/06/18,09:40:22,2.272
274,19/06/18,09:40:32,2.2698
275,19/06/18,09:40:43,2.267
276,19/06/18,09:40:53,2.2662
277,19/06/18,09:41:03,2.2662
278,19/06/18,09:41:14,2.2648
279,19/06/18,09:41:24,2.2641
280,19/06/18,09:41:34,2.2634
281,19/06/18,09:41:44,2.2648
282,19/06/18,09:41:54,2.2684
283,19/06/18,09:42:04,2.2713
284,19/06/18,09:42:15,2.272
285,19/06/18,09:42:25,2.272
286,19/06/18,09:42:35,2.2713
287,19/06/18,09:42:45,2.2698
288,19/06/18,09:42:56,2.2677
289,19/06/18,09:43:06,2.2648
290,19/06/18,09:43:16,2.2648
291,19/06/18,09:43:26,2.2662
292,19/06/18,09:43:37,2.267
293,19/06/18,09:43:47,2.2684
294,19/06/18,09:43:57,2.2684
295,19/06/18,09:44:07,2.2684
296,19/06/18,09:44:18,2.2691
297,19/06/18,09:44:28,2.2713
298,19/06/18,09:44:38,2.2705
299,19/06/18,09:44:48,2.2705
300,19/06/18,09:44:58,2.2677
301,19/06/18,09:45:09,2.2648
302,19/06/18,09:45:19,2.2634
303,19/06/18,09:45:29,2.2648
304,19/06/18,09:45:39,2.2627
305,19/06/18,09:45:50,2.2634
306,19/06/18,09:46:00,2.2634
307,19/06/18,09:46:10,2.2648
308,19/06/18,09:46:20,2.2648
309,19/06/18,09:46:31,2.2662
310,19/06/18,09:46:41,2.2662
311,19/06/18,09:46:51,2.267
312,19/06/18,09:47:01,2.267
313,19/06/18,09:47:11,2.2662
314,19/06/18,09:47:21,2.2627
315,19/06/18,09:47:32,2.2612
316,19/06/18,09:47:42,2.2612
317,19/06/18,09:47:52,2.2627
318,19/06/18,09:48:03,2.2648
319,19/06/18,09:48:13,2.267
320,19/06/18,09:48:23,2.267
321,19/06/18,09:48:33,2.267
322,19/06/18,09:48:43,2.267
323,19/06/18,09:48:53,2.2641
324,19/06/18,09:49:03,2.2627
325,19/06/18,09:49:13,2.2627
326,19/06/18,09:49:24,2.2634
327,19/06/18,09:49:34,2.2634
328,19/06/18,09:49:44,2.2641
329,19/06/18,09:49:54,2.2648
330,19/06/18,09:50:04,2.2662
331,19/06/18,09:50:14,2.267
332,19/06/18,09:50:24,2.2662
333,19/06/18,09:50:35,2.2641
334,19/06/18,09:50:45,2.2641
335,19/06/18,09:50:55,2.2641
336,19/06/18,09:51:05,2.2605
337,19/06/18,09:51:16,2.2612
338,19/06/18,09:51:26,2.2612
339,19/06/18,09:51:36,2.2619
340,19/06/18,09:51:46,2.2634
341,19/06/18,09:51:57,2.2619
342,19/06/18,09:52:07,2.2634
343,19/06/18,09:52:17,2.2662
344,19/06/18,09:52:26,2.2662
345,19/06/18,09:52:37,2.2691
346,19/06/18,09:52:47,2.2691
347,19/06/18,09:52:57,2.2662
348,19/06/18,09:53:08,2.2648
349,19/06/18,09:53:18,2.2619
350,19/06/18,09:53:28,2.2612
351,19/06/18,09:53:38,2.2619
352,19/06/18,09:53:49,2.2612
353,19/06/18,09:53:59,2.2598
354,19/06/18,09:54:09,2.2598
355,19/06/18,09:54:19,2.2598
356,19/06/18,09:54:30,2.2605
357,19/06/18,09:54:40,2.2598
358,19/06/18,09:54:50,2.2619
359,19/06/18,09:55:00,2.2619
360,19/06/18,09:55:11,2.2634
361,19/06/18,09:55:21,2.2641
362,19/06/18,09:55:31,2.2641
363,19/06/18,09:55:41,2.2627
364,19/06/18,09:55:51,2.2634
365,19/06/18,09:56:02,2.2634
366,19/06/18,09:56:12,2.2634
367,19/06/18,09:56:22,2.2634
368,19/06/18,09:56:32,2.2634
369,19/06/18,09:56:43,2.2627
370,19/06/18,09:56:53,2.2612
371,19/06/18,09:57:03,2.2598
372,19/06/18,09:57:13,2.2591
373,19/06/18,09:57:24,2.2584
374,19/06/18,09:57:34,2.2598
375,19/06/18,09:57:44,2.2634
376,19/06/18,09:57:54,2.2641
377,19/06/18,09:58:05,2.2662
378,19/06/18,09:58:14,2.2641
379,19/06/18,09:58:24,2.2598
380,19/06/18,09:58:35,2.2548
381,19/06/18,09:58:45,2.2526
382,19/06/18,09:58:55,2.2533
383,19/06/18,09:59:05,2.2548
384,19/06/18,09:59:16,2.2576
385,19/06/18,09:59:26,2.2612
386,19/06/18,09:59:36,2.2641
387,19/06/18,09:59:46,2.2627
388,19/06/18,09:59:57,2.2591
389,19/06/18,10:00:07,2.2576
390,19/06/18,10:00:17,2.2584
391,19/06/18,10:00:27,2.2591
392,19/06/18,10:00:38,2.2612
393,19/06/18,10:00:48,2.2612
394,19/06/18,10:00:58,2.2627
395,19/06/18,10:01:08,2.2641
396,19/06/18,10:01:19,2.2648
397,19/06/18,10:01:29,2.2634
398,19/06/18,10:01:39,2.2598
399,19/06/18,10:01:49,2.2584
400,19/06/18,10:02:00,2.2591
401,19/06/18,10:02:10,2.2584
402,19/06/18,10:02:20,2.2562
403,19/06/18,10:02:30,2.2612
404,19/06/18,10:02:41,2.2591
405,19/06/18,10:02:51,2.2584
406,19/06/18,10:03:01,2.2576
407,19/06/18,10:03:11,2.2584
408,19/06/18,10:03:22,2.2598
409,19/06/18,10:03:32,2.2619
410,19/06/18,10:03:42,2.2641
411,19/06/18,10:03:52,2.2627
412,19/06/18,10:04:03,2.2627
413,19/06/18,10:04:13,2.2576
414,19/06/18,10:04:23,2.2555
415,19/06/18,10:04:33,2.2562
416,19/06/18,10:04:44,2.2541
417,19/06/18,10:04:54,2.2541
418,19/06/18,10:05:04,2.2548
419,19/06/18,10:05:14,2.2548
420,19/06/18,10:05:25,2.2576
421,19/06/18,10:05:35,2.2584
422,19/06/18,10:05:45,2.2598
423,19/06/18,10:05:55,2.2591
424,19/06/18,10:06:06,2.2634
425,19/06/18,10:06:16,2.2627
426,19/06/18,10:06:26,2.2641
427,19/06/18,10:06:37,2.2619
428,19/06/18,10:06:47,2.2598
429,19/06/18,10:06:57,2.2591
430,19/06/18,10:07:07,2.2584
431,19/06/18,10:07:18,2.2576
432,19/06/18,10:07:28,2.2598
433,19/06/18,10:07:38,2.2584
434,19/06/18,10:07:48,2.2562
435,19/06/18,10:07:59,2.2576
436,19/06/18,10:08:09,2.2591
437,19/06/18,10:08:19,2.2591
438,19/06/18,10:08:29,2.2584
439,19/06/18,10:08:39,2.2591
440,19/06/18,10:08:50,2.2619
441,19/06/18,10:09:00,2.2619
442,19/06/18,10:09:10,2.2627
443,19/06/18,10:09:20,2.2634
444,19/06/18,10:09:31,2.2634
445,19/06/18,10:09:41,2.2634
446,19/06/18,10:09:51,2.2627
447,19/06/18,10:10:02,2.2619
448,19/06/18,10:10:12,2.2627
449,19/06/18,10:10:22,2.2648
450,19/06/18,10:10:32,2.2648
451,19/06/18,10:10:43,2.2648
452,19/06/18,10:10:53,2.2662
453,19/06/18,10:11:03,2.267
454,19/06/18,10:11:13,2.2662
455,19/06/18,10:11:24,2.2662
456,19/06/18,10:11:34,2.2641
457,19/06/18,10:11:44,2.2641
458,19/06/18,10:11:54,2.2634
459,19/06/18,10:12:05,2.2612
460,19/06/18,10:12:15,2.2627
461,19/06/18,10:12:25,2.2619
462,19/06/18,10:12:35,2.2591
463,19/06/18,10:12:46,2.2591
464,19/06/18,10:12:56,2.2562
465,19/06/18,10:13:06,2.2584
466,19/06/18,10:13:16,2.2591
467,19/06/18,10:13:27,2.2598
468,19/06/18,10:13:37,2.2619
469,19/06/18,10:13:47,2.2641
470,19/06/18,10:13:58,2.267
471,19/06/18,10:14:08,2.2662
472,19/06/18,10:14:18,2.2591
473,19/06/18,10:14:28,2.2562
474,19/06/18,10:14:38,2.2555
475,19/06/18,10:14:49,2.2555
476,19/06/18,10:14:59,2.2591
477,19/06/18,10:15:09,2.2612
478,19/06/18,10:15:20,2.2627
479,19/06/18,10:15:30,2.2619
480,19/06/18,10:15:40,2.2619
481,19/06/18,10:15:50,2.2584
482,19/06/18,10:16:01,2.2576
483,19/06/18,10:16:11,2.2591
484,19/06/18,10:16:21,2.2584
485,19/06/18,10:16:31,2.2598
486,19/06/18,10:16:42,2.2598
487,19/06/18,10:16:52,2.2619
488,19/06/18,10:17:02,2.2627
489,19/06/18,10:17:12,2.2634
490,19/06/18,10:17:23,2.2648
491,19/06/18,10:17:33,2.2627
492,19/06/18,10:17:43,2.2612
493,19/06/18,10:17:53,2.2576
494,19/06/18,10:18:04,2.2548
495,19/06/18,10:18:14,2.2576
496,19/06/18,10:18:24,2.2576
497,19/06/18,10:18:34,2.2591
498,19/06/18,10:18:45,2.2591
499,19/06/18,10:18:55,2.2591
