,Date,Time,Proximity Sensor 3
0,20/06/18,10:20:10,2.2275
1,20/06/18,10:20:23,2.224
2,20/06/18,11:48:54,2.224
3,20/06/18,11:49:04,2.2247
4,20/06/18,11:49:14,2.2211
5,20/06/18,11:49:24,2.2189
6,20/06/18,11:49:34,2.2182
7,20/06/18,11:49:44,2.2197
8,20/06/18,11:49:54,2.2211
9,20/06/18,11:50:04,2.2211
10,20/06/18,11:50:14,2.2168
11,20/06/18,11:50:23,2.2125
12,20/06/18,11:50:33,2.2096
13,20/06/18,11:50:43,2.2096
14,20/06/18,11:50:53,2.2032
15,20/06/18,11:51:03,2.1996
16,20/06/18,11:51:13,2.1938
17,20/06/18,11:51:23,2.196
18,20/06/18,11:51:33,2.1946
19,20/06/18,11:51:43,2.1917
20,20/06/18,11:51:53,2.1895
21,20/06/18,11:52:03,2.191
22,20/06/18,11:52:13,2.1888
23,20/06/18,11:52:23,2.1895
24,20/06/18,11:52:33,2.1903
25,20/06/18,11:52:43,2.1888
26,20/06/18,11:52:53,2.1881
27,20/06/18,11:53:03,2.1888
28,20/06/18,11:53:13,2.1881
29,20/06/18,11:53:23,2.1874
30,20/06/18,11:53:33,2.1867
31,20/06/18,11:53:43,2.1881
32,20/06/18,11:53:53,2.1888
33,20/06/18,11:54:03,2.1895
34,20/06/18,11:54:13,2.1924
35,20/06/18,11:54:23,2.1917
36,20/06/18,11:54:33,2.1881
37,20/06/18,11:54:43,2.1845
38,20/06/18,11:54:53,2.1817
39,20/06/18,11:55:03,2.1824
40,20/06/18,11:55:13,2.1888
41,20/06/18,11:55:23,2.1888
42,20/06/18,11:55:33,2.1888
43,20/06/18,11:55:43,2.1874
44,20/06/18,11:55:53,2.1874
45,20/06/18,11:56:03,2.1874
46,20/06/18,11:56:13,2.1888
47,20/06/18,11:56:23,2.1881
48,20/06/18,11:56:33,2.1895
49,20/06/18,11:56:43,2.1888
50,20/06/18,11:56:53,2.1888
51,20/06/18,11:57:03,2.1867
52,20/06/18,11:57:13,2.1867
53,20/06/18,11:57:23,2.1874
54,20/06/18,11:57:33,2.1881
55,20/06/18,11:57:43,2.1895
56,20/06/18,11:57:53,2.1881
57,20/06/18,11:58:03,2.1888
58,20/06/18,11:58:13,2.1874
59,20/06/18,11:58:23,2.1867
60,20/06/18,11:58:33,2.1852
61,20/06/18,11:58:43,2.1831
62,20/06/18,11:58:53,2.1824
63,20/06/18,11:59:03,2.1845
64,20/06/18,11:59:13,2.1845
65,20/06/18,11:59:23,2.1845
66,20/06/18,11:59:33,2.1852
67,20/06/18,11:59:43,2.1852
68,20/06/18,11:59:53,2.1874
69,20/06/18,12:00:03,2.1888
70,20/06/18,12:00:13,2.1888
71,20/06/18,12:00:22,2.1874
72,20/06/18,12:00:33,2.1852
73,20/06/18,12:00:43,2.1824
74,20/06/18,12:00:53,2.1809
75,20/06/18,12:01:03,2.1831
76,20/06/18,12:01:13,2.1831
77,20/06/18,12:01:23,2.1831
78,20/06/18,12:01:33,2.1824
79,20/06/18,12:01:43,2.1831
80,20/06/18,12:01:53,2.1817
81,20/06/18,12:02:03,2.1824
82,20/06/18,12:02:13,2.1831
83,20/06/18,12:02:23,2.1845
84,20/06/18,12:02:33,2.1881
85,20/06/18,12:02:43,2.1874
86,20/06/18,12:02:53,2.1845
87,20/06/18,12:03:03,2.1824
88,20/06/18,12:03:13,2.1809
89,20/06/18,12:03:23,2.1845
90,20/06/18,12:03:33,2.1824
91,20/06/18,12:03:43,2.1802
92,20/06/18,12:03:53,2.1795
93,20/06/18,12:04:03,2.1788
94,20/06/18,12:04:13,2.1781
95,20/06/18,12:04:23,2.1788
96,20/06/18,12:04:33,2.1817
97,20/06/18,12:04:43,2.1802
98,20/06/18,12:04:53,2.1802
99,20/06/18,12:05:03,2.1817
100,20/06/18,12:05:14,2.1824
101,20/06/18,12:05:23,2.1809
102,20/06/18,12:05:34,2.1824
103,20/06/18,12:05:44,2.1817
104,20/06/18,12:05:53,2.1802
105,20/06/18,12:06:03,2.1788
106,20/06/18,12:06:14,2.1795
107,20/06/18,12:06:23,2.1788
108,20/06/18,12:06:33,2.1824
109,20/06/18,12:06:44,2.1795
110,20/06/18,12:06:53,2.1788
111,20/06/18,12:07:04,2.1781
112,20/06/18,12:07:13,2.1795
113,20/06/18,12:07:23,2.1781
114,20/06/18,12:07:34,2.1802
115,20/06/18,12:07:43,2.1788
116,20/06/18,12:07:53,2.1824
117,20/06/18,12:08:03,2.1824
118,20/06/18,12:08:13,2.1817
119,20/06/18,12:08:23,2.1817
120,20/06/18,12:08:33,2.1795
121,20/06/18,12:08:43,2.1802
122,20/06/18,12:08:53,2.1766
123,20/06/18,12:09:03,2.1774
124,20/06/18,12:09:13,2.1774
125,20/06/18,12:09:23,2.1774
126,20/06/18,12:09:33,2.1774
127,20/06/18,12:09:43,2.1766
128,20/06/18,12:09:53,2.1781
129,20/06/18,12:10:03,2.1788
130,20/06/18,12:10:13,2.1774
131,20/06/18,12:10:23,2.1774
132,20/06/18,12:10:33,2.1788
133,20/06/18,12:10:43,2.1802
134,20/06/18,12:10:53,2.1774
135,20/06/18,12:11:03,2.1738
136,20/06/18,12:11:13,2.1723
137,20/06/18,12:11:23,2.1723
138,20/06/18,12:11:33,2.1745
139,20/06/18,12:11:43,2.1738
140,20/06/18,12:11:53,2.1745
141,20/06/18,12:12:03,2.1738
142,20/06/18,12:12:13,2.1766
143,20/06/18,12:12:23,2.1745
144,20/06/18,12:12:33,2.1702
145,20/06/18,12:12:43,2.1695
146,20/06/18,12:12:53,2.168
147,20/06/18,12:13:03,2.1702
148,20/06/18,12:13:14,2.1709
149,20/06/18,12:13:23,2.1745
150,20/06/18,12:13:33,2.1738
151,20/06/18,12:13:44,2.1709
152,20/06/18,12:13:53,2.1702
153,20/06/18,12:14:03,2.1695
154,20/06/18,12:14:14,2.1702
155,20/06/18,12:14:23,2.1673
156,20/06/18,12:14:33,2.1645
157,20/06/18,12:14:44,2.1645
158,20/06/18,12:14:53,2.1645
