,Date,Time,Proximity Sensor 2
0,27/08/18,19:56:20,1.9293
1,27/08/18,19:56:30,1.9279
2,27/08/18,19:56:40,1.9286
3,27/08/18,19:56:50,1.9272
4,27/08/18,19:56:59,1.9286
5,27/08/18,19:57:09,1.9258
6,27/08/18,19:57:19,1.9265
7,27/08/18,19:57:29,1.9279
8,27/08/18,19:57:39,1.9293
9,27/08/18,19:57:49,1.9279
10,27/08/18,19:57:58,1.9272
11,27/08/18,19:58:08,1.925
12,27/08/18,19:58:18,1.9272
13,27/08/18,19:58:28,1.9272
14,27/08/18,19:58:38,1.9279
15,27/08/18,19:58:48,1.9286
16,27/08/18,19:58:58,1.9272
17,27/08/18,19:59:08,1.9279
18,27/08/18,19:59:18,1.9301
19,27/08/18,19:59:28,1.9365
20,27/08/18,19:59:38,1.9394
21,27/08/18,19:59:48,1.943
22,27/08/18,19:59:58,1.9415
23,27/08/18,20:00:07,1.9401
24,27/08/18,20:00:18,1.9387
25,27/08/18,20:00:27,1.9379
26,27/08/18,20:00:37,1.9372
27,27/08/18,20:00:47,1.9387
28,27/08/18,20:00:57,1.943
29,27/08/18,20:01:07,1.9437
30,27/08/18,20:01:17,1.943
31,27/08/18,20:01:26,1.948
32,27/08/18,20:01:37,1.9437
33,27/08/18,20:01:46,1.9444
34,27/08/18,20:01:57,1.9408
35,27/08/18,20:02:06,1.9394
36,27/08/18,20:02:16,1.9372
37,27/08/18,20:02:26,1.9351
38,27/08/18,20:02:36,1.9387
39,27/08/18,20:02:46,1.9415
40,27/08/18,20:02:56,1.9444
41,27/08/18,20:03:06,1.9415
42,27/08/18,20:03:16,1.9394
43,27/08/18,20:03:25,1.9387
44,27/08/18,20:03:35,1.9365
45,27/08/18,20:03:45,1.9336
46,27/08/18,20:03:55,1.9358
47,27/08/18,20:04:05,1.9379
48,27/08/18,20:04:15,1.9336
49,27/08/18,20:04:25,1.9279
50,27/08/18,20:04:35,1.9258
51,27/08/18,20:04:45,1.9186
52,27/08/18,20:04:55,1.9179
53,27/08/18,20:05:04,1.9157
54,27/08/18,20:05:14,1.9186
55,27/08/18,20:05:24,1.9229
56,27/08/18,20:05:34,1.9286
57,27/08/18,20:05:44,1.9301
58,27/08/18,20:05:53,1.9336
59,27/08/18,20:06:03,1.9365
60,27/08/18,20:06:13,1.9387
61,27/08/18,20:06:23,1.9387
62,27/08/18,20:06:33,1.9372
63,27/08/18,20:06:43,1.9401
64,27/08/18,20:06:53,1.943
65,27/08/18,20:07:03,1.9415
66,27/08/18,20:07:13,1.9451
67,27/08/18,20:07:23,1.948
68,27/08/18,20:07:33,1.9444
69,27/08/18,20:07:43,1.9444
70,27/08/18,20:07:52,1.9444
71,27/08/18,20:08:02,1.9415
72,27/08/18,20:08:12,1.9451
73,27/08/18,20:08:22,1.9509
74,27/08/18,20:08:32,1.953
75,27/08/18,20:08:42,1.953
76,27/08/18,20:08:51,1.9544
77,27/08/18,20:09:01,1.9509
78,27/08/18,20:09:11,1.9494
79,27/08/18,20:09:21,1.9487
80,27/08/18,20:09:31,1.9444
81,27/08/18,20:09:41,1.9415
82,27/08/18,20:09:51,1.9415
83,27/08/18,20:10:01,1.9487
84,27/08/18,20:10:10,1.953
85,27/08/18,20:10:20,1.9544
86,27/08/18,20:10:30,1.9566
87,27/08/18,20:10:40,1.953
88,27/08/18,20:10:50,1.9501
89,27/08/18,20:11:00,1.9494
90,27/08/18,20:11:09,1.9451
91,27/08/18,20:11:19,1.9487
92,27/08/18,20:11:29,1.9509
93,27/08/18,20:11:39,1.9501
94,27/08/18,20:11:49,1.9444
95,27/08/18,20:11:59,1.9437
96,27/08/18,20:12:08,1.9444
97,27/08/18,20:12:18,1.9408
98,27/08/18,20:12:28,1.943
99,27/08/18,20:12:38,1.943
100,27/08/18,20:12:48,1.9394
101,27/08/18,20:12:58,1.9379
102,27/08/18,20:13:08,1.9379
103,27/08/18,20:13:17,1.943
104,27/08/18,20:13:28,1.9487
105,27/08/18,20:13:37,1.9487
106,27/08/18,20:13:47,1.9444
107,27/08/18,20:13:57,1.9365
108,27/08/18,20:14:07,1.9308
109,27/08/18,20:14:17,1.9272
110,27/08/18,20:14:27,1.9215
111,27/08/18,20:14:37,1.9193
112,27/08/18,20:14:47,1.92
113,27/08/18,20:14:57,1.9258
114,27/08/18,20:15:07,1.9293
115,27/08/18,20:15:17,1.9301
116,27/08/18,20:15:27,1.9344
117,27/08/18,20:15:36,1.9336
118,27/08/18,20:15:46,1.9322
119,27/08/18,20:15:56,1.9365
120,27/08/18,20:16:06,1.9415
121,27/08/18,20:16:16,1.948
122,27/08/18,20:16:26,1.9487
123,27/08/18,20:16:35,1.9501
124,27/08/18,20:16:45,1.9494
125,27/08/18,20:16:55,1.9494
126,27/08/18,20:17:05,1.9458
127,27/08/18,20:17:15,1.9487
128,27/08/18,20:17:25,1.9451
129,27/08/18,20:17:35,1.9437
130,27/08/18,20:17:45,1.943
131,27/08/18,20:17:55,1.9401
132,27/08/18,20:18:04,1.9401
133,27/08/18,20:18:14,1.9494
134,27/08/18,20:18:24,1.9552
135,27/08/18,20:18:34,1.9587
136,27/08/18,20:18:44,1.9587
137,27/08/18,20:18:54,1.9595
138,27/08/18,20:19:04,1.9552
139,27/08/18,20:19:14,1.9537
140,27/08/18,20:19:24,1.9544
141,27/08/18,20:19:34,1.9501
142,27/08/18,20:19:44,1.9487
143,27/08/18,20:19:53,1.9494
144,27/08/18,20:20:03,1.9494
145,27/08/18,20:20:13,1.9487
146,27/08/18,20:20:23,1.9458
147,27/08/18,20:20:33,1.943
148,27/08/18,20:20:43,1.9394
149,27/08/18,20:20:53,1.9387
150,27/08/18,20:21:03,1.9394
151,27/08/18,20:21:13,1.9444
152,27/08/18,20:21:22,1.943
153,27/08/18,20:21:32,1.9387
154,27/08/18,20:21:42,1.9372
155,27/08/18,20:21:52,1.9301
156,27/08/18,20:22:02,1.9265
157,27/08/18,20:22:12,1.9229
158,27/08/18,20:22:22,1.9207
159,27/08/18,20:22:32,1.925
160,27/08/18,20:22:42,1.9322
161,27/08/18,20:22:52,1.9344
162,27/08/18,20:23:02,1.9358
163,27/08/18,20:23:11,1.9372
164,27/08/18,20:23:21,1.9379
165,27/08/18,20:23:31,1.9401
166,27/08/18,20:23:41,1.9394
167,27/08/18,20:23:51,1.9372
168,27/08/18,20:24:01,1.9372
169,27/08/18,20:24:10,1.9379
170,27/08/18,20:24:20,1.9394
171,27/08/18,20:24:30,1.948
172,27/08/18,20:24:40,1.9509
173,27/08/18,20:24:50,1.9552
174,27/08/18,20:25:00,1.9573
175,27/08/18,20:25:09,1.9559
176,27/08/18,20:25:19,1.9552
177,27/08/18,20:25:29,1.9559
178,27/08/18,20:25:39,1.9544
179,27/08/18,20:25:49,1.953
180,27/08/18,20:25:59,1.9509
181,27/08/18,20:26:09,1.9509
182,27/08/18,20:26:18,1.9501
183,27/08/18,20:26:29,1.9487
184,27/08/18,20:26:39,1.9451
185,27/08/18,20:26:48,1.9408
186,27/08/18,20:26:58,1.9372
187,27/08/18,20:27:08,1.9408
188,27/08/18,20:27:18,1.9444
189,27/08/18,20:27:28,1.948
190,27/08/18,20:27:38,1.9437
191,27/08/18,20:27:47,1.9415
192,27/08/18,20:27:57,1.9408
193,27/08/18,20:28:07,1.948
194,27/08/18,20:28:17,1.9494
195,27/08/18,20:28:27,1.9437
196,27/08/18,20:28:37,1.9408
197,27/08/18,20:28:46,1.9358
198,27/08/18,20:28:56,1.9308
199,27/08/18,20:29:06,1.9272
200,27/08/18,20:29:16,1.92
201,27/08/18,20:29:26,1.9207
202,27/08/18,20:29:36,1.9258
203,27/08/18,20:29:45,1.9315
204,27/08/18,20:29:55,1.9401
205,27/08/18,20:30:05,1.9437
206,27/08/18,20:30:15,1.9444
207,27/08/18,20:30:25,1.9444
208,27/08/18,20:30:35,1.9444
209,27/08/18,20:30:45,1.943
210,27/08/18,20:30:55,1.9437
211,27/08/18,20:31:05,1.9437
212,27/08/18,20:31:14,1.9437
213,27/08/18,20:31:24,1.9437
214,27/08/18,20:31:34,1.9394
215,27/08/18,20:31:44,1.9394
216,27/08/18,20:31:54,1.9415
217,27/08/18,20:32:04,1.9437
218,27/08/18,20:32:13,1.948
219,27/08/18,20:32:23,1.9501
220,27/08/18,20:32:33,1.9544
221,27/08/18,20:32:43,1.9573
222,27/08/18,20:32:53,1.9587
223,27/08/18,20:33:03,1.9573
224,27/08/18,20:33:13,1.958
225,27/08/18,20:33:22,1.9559
226,27/08/18,20:33:32,1.9559
227,27/08/18,20:33:42,1.9544
228,27/08/18,20:33:52,1.9544
229,27/08/18,20:34:02,1.9537
230,27/08/18,20:34:12,1.9537
231,27/08/18,20:34:21,1.9537
232,27/08/18,20:34:31,1.9523
233,27/08/18,20:34:41,1.9509
234,27/08/18,20:34:51,1.9458
235,27/08/18,20:35:01,1.9437
236,27/08/18,20:35:11,1.943
