,Date,Time,Proximity Sensor 2
0,23/01/19,09:39:45,2.0139
1,23/01/19,09:39:55,2.0139
2,23/01/19,09:40:05,2.0132
3,23/01/19,09:40:16,2.0154
4,23/01/19,09:40:26,2.0168
5,23/01/19,09:40:36,2.0211
6,23/01/19,09:40:46,2.024
7,23/01/19,09:40:56,2.0232
8,23/01/19,09:41:06,2.0275
9,23/01/19,09:41:16,2.0297
10,23/01/19,09:41:26,2.0283
11,23/01/19,09:41:36,2.0268
12,23/01/19,09:41:46,2.0268
13,23/01/19,09:41:56,2.0225
14,23/01/19,09:42:06,2.0232
15,23/01/19,09:42:16,2.0189
16,23/01/19,09:42:27,2.0182
17,23/01/19,09:42:37,2.0204
18,23/01/19,09:42:46,2.024
19,23/01/19,09:42:56,2.0304
20,23/01/19,09:43:07,2.0283
21,23/01/19,09:43:17,2.0261
22,23/01/19,09:43:27,2.024
23,23/01/19,09:43:38,2.0204
24,23/01/19,09:43:48,2.0182
25,23/01/19,09:43:58,2.0168
26,23/01/19,09:44:08,2.0197
27,23/01/19,09:44:18,2.0204
28,23/01/19,09:44:28,2.0189
29,23/01/19,09:44:38,2.0154
30,23/01/19,09:44:48,2.0118
31,23/01/19,09:44:58,2.0118
32,23/01/19,09:45:08,2.0111
33,23/01/19,09:45:18,2.0154
34,23/01/19,09:45:28,2.0189
35,23/01/19,09:45:38,2.0211
36,23/01/19,09:45:48,2.0204
37,23/01/19,09:45:58,2.0168
38,23/01/19,09:46:08,2.0111
39,23/01/19,09:46:18,2.0096
40,23/01/19,09:46:28,2.0082
41,23/01/19,09:46:39,2.0039
42,23/01/19,09:46:49,2.0003
43,23/01/19,09:46:59,1.9989
44,23/01/19,09:47:09,1.9982
45,23/01/19,09:47:19,1.9982
46,23/01/19,09:47:29,1.9996
47,23/01/19,09:47:39,2.0039
48,23/01/19,09:47:48,2.0118
49,23/01/19,09:47:58,2.0154
50,23/01/19,09:48:08,2.0175
51,23/01/19,09:48:18,2.0204
52,23/01/19,09:48:29,2.0232
53,23/01/19,09:48:39,2.0211
54,23/01/19,09:48:49,2.0232
55,23/01/19,09:48:59,2.0211
56,23/01/19,09:49:08,2.0182
57,23/01/19,09:49:18,2.0175
58,23/01/19,09:49:28,2.0182
59,23/01/19,09:49:38,2.024
60,23/01/19,09:49:48,2.0275
61,23/01/19,09:49:58,2.0261
62,23/01/19,09:50:09,2.0261
63,23/01/19,09:50:19,2.0247
64,23/01/19,09:50:28,2.0211
65,23/01/19,09:50:38,2.0197
66,23/01/19,09:50:48,2.0211
67,23/01/19,09:50:58,2.0232
68,23/01/19,09:51:08,2.0275
69,23/01/19,09:51:19,2.029
70,23/01/19,09:51:29,2.0275
71,23/01/19,09:51:39,2.0275
72,23/01/19,09:51:49,2.0247
73,23/01/19,09:52:00,2.0211
74,23/01/19,09:52:10,2.0211
75,23/01/19,09:52:20,2.0247
76,23/01/19,09:52:31,2.0268
77,23/01/19,09:52:41,2.0268
78,23/01/19,09:52:51,2.0232
79,23/01/19,09:53:01,2.0197
80,23/01/19,09:53:10,2.0225
81,23/01/19,09:53:20,2.029
82,23/01/19,09:53:30,2.0311
83,23/01/19,09:53:40,2.029
84,23/01/19,09:53:50,2.0297
85,23/01/19,09:54:00,2.0297
86,23/01/19,09:54:10,2.0275
87,23/01/19,09:54:20,2.0232
88,23/01/19,09:54:30,2.0211
89,23/01/19,09:54:41,2.0204
90,23/01/19,09:54:51,2.0204
91,23/01/19,09:55:01,2.0247
92,23/01/19,09:55:11,2.0283
93,23/01/19,09:55:21,2.0297
94,23/01/19,09:55:31,2.0297
95,23/01/19,09:55:41,2.029
96,23/01/19,09:55:51,2.0247
97,23/01/19,09:56:00,2.0204
98,23/01/19,09:56:10,2.0182
99,23/01/19,09:56:20,2.0132
100,23/01/19,09:56:30,2.0146
101,23/01/19,09:56:40,2.0125
102,23/01/19,09:56:51,2.0118
103,23/01/19,09:57:00,2.0089
104,23/01/19,09:57:10,2.0089
105,23/01/19,09:57:20,2.0125
106,23/01/19,09:57:30,2.0125
107,23/01/19,09:57:41,2.0146
108,23/01/19,09:57:51,2.0125
109,23/01/19,09:58:01,2.0146
110,23/01/19,09:58:11,2.0189
111,23/01/19,09:58:21,2.0268
112,23/01/19,09:58:31,2.0311
113,23/01/19,09:58:41,2.0333
114,23/01/19,09:58:51,2.034
115,23/01/19,09:59:01,2.0311
116,23/01/19,09:59:11,2.0311
117,23/01/19,09:59:21,2.0304
118,23/01/19,09:59:31,2.0297
119,23/01/19,09:59:41,2.034
120,23/01/19,09:59:51,2.0369
121,23/01/19,10:00:00,2.0354
122,23/01/19,10:00:10,2.0326
123,23/01/19,10:00:20,2.0318
124,23/01/19,10:00:30,2.0297
125,23/01/19,10:00:40,2.0283
126,23/01/19,10:00:50,2.0268
127,23/01/19,10:01:00,2.0268
128,23/01/19,10:01:10,2.0275
129,23/01/19,10:01:20,2.0333
130,23/01/19,10:01:30,2.0376
131,23/01/19,10:01:40,2.0376
132,23/01/19,10:01:51,2.0383
133,23/01/19,10:02:01,2.0362
134,23/01/19,10:02:11,2.0354
135,23/01/19,10:02:21,2.0318
136,23/01/19,10:02:30,2.0318
137,23/01/19,10:02:41,2.0376
138,23/01/19,10:02:51,2.0376
139,23/01/19,10:03:01,2.0376
140,23/01/19,10:03:11,2.0369
141,23/01/19,10:03:22,2.0362
142,23/01/19,10:03:32,2.0326
143,23/01/19,10:03:43,2.0318
144,23/01/19,10:03:53,2.029
145,23/01/19,10:04:03,2.024
146,23/01/19,10:04:13,2.024
147,23/01/19,10:04:23,2.0275
148,23/01/19,10:04:33,2.0297
149,23/01/19,10:04:43,2.0311
150,23/01/19,10:04:54,2.0362
151,23/01/19,10:05:03,2.0397
152,23/01/19,10:05:13,2.0383
153,23/01/19,10:05:23,2.0405
154,23/01/19,10:05:33,2.0412
155,23/01/19,10:05:43,2.039
156,23/01/19,10:05:53,2.0369
157,23/01/19,10:06:03,2.0354
158,23/01/19,10:06:13,2.0318
159,23/01/19,10:06:23,2.0297
160,23/01/19,10:06:33,2.0247
161,23/01/19,10:06:43,2.0232
162,23/01/19,10:06:53,2.024
163,23/01/19,10:07:03,2.0268
164,23/01/19,10:07:13,2.0318
165,23/01/19,10:07:23,2.0333
166,23/01/19,10:07:33,2.0369
167,23/01/19,10:07:44,2.0376
168,23/01/19,10:07:54,2.0376
169,23/01/19,10:08:04,2.0376
170,23/01/19,10:08:14,2.0354
171,23/01/19,10:08:24,2.0318
172,23/01/19,10:08:34,2.029
173,23/01/19,10:08:44,2.0275
174,23/01/19,10:08:54,2.0297
175,23/01/19,10:09:04,2.0333
176,23/01/19,10:09:14,2.0333
177,23/01/19,10:09:25,2.0304
178,23/01/19,10:09:35,2.0283
179,23/01/19,10:09:45,2.0261
180,23/01/19,10:09:55,2.0261
181,23/01/19,10:10:05,2.0311
182,23/01/19,10:10:15,2.0383
183,23/01/19,10:10:25,2.039
184,23/01/19,10:10:35,2.0369
185,23/01/19,10:10:45,2.0333
186,23/01/19,10:10:55,2.0333
187,23/01/19,10:11:06,2.0297
188,23/01/19,10:11:16,2.0283
189,23/01/19,10:11:26,2.0318
190,23/01/19,10:11:36,2.0362
191,23/01/19,10:11:46,2.0376
192,23/01/19,10:11:56,2.0376
193,23/01/19,10:12:06,2.0376
194,23/01/19,10:12:16,2.0326
195,23/01/19,10:12:26,2.0304
196,23/01/19,10:12:36,2.0283
197,23/01/19,10:12:46,2.0247
198,23/01/19,10:12:56,2.024
