,Date,Time,Proximity Sensor 2
0,10/04/21,00:00:14,1.1932
1,10/04/21,00:00:25,1.1918
2,10/04/21,00:00:36,1.191
3,10/04/21,00:00:47,1.1882
4,10/04/21,00:00:57,1.1882
5,10/04/21,00:01:08,1.1882
6,10/04/21,00:01:19,1.1875
7,10/04/21,00:01:30,1.1882
8,10/04/21,00:01:41,1.1875
9,10/04/21,00:01:52,1.186
10,10/04/21,00:02:03,1.1867
11,10/04/21,00:02:14,1.191
12,10/04/21,00:02:25,1.191
13,10/04/21,00:02:36,1.191
14,10/04/21,00:02:47,1.1932
15,10/04/21,00:02:58,1.1939
16,10/04/21,00:03:09,1.1953
17,10/04/21,00:03:20,1.1968
18,10/04/21,00:03:31,1.1989
19,10/04/21,00:03:42,1.1989
20,10/04/21,00:03:53,1.2025
21,10/04/21,00:04:04,1.2025
22,10/04/21,00:04:15,1.1989
23,10/04/21,00:04:26,1.1975
24,10/04/21,00:04:36,1.1961
25,10/04/21,00:04:47,1.1961
26,10/04/21,00:04:58,1.1939
27,10/04/21,00:05:09,1.1946
28,10/04/21,00:05:20,1.1932
29,10/04/21,00:05:31,1.1932
30,10/04/21,00:05:42,1.1932
31,10/04/21,00:05:53,1.1918
32,10/04/21,00:06:04,1.1925
33,10/04/21,00:06:15,1.1882
34,10/04/21,00:06:26,1.1882
35,10/04/21,00:06:37,1.1875
36,10/04/21,00:06:48,1.1896
37,10/04/21,00:06:59,1.1896
38,10/04/21,00:07:10,1.1918
39,10/04/21,00:07:21,1.1918
40,10/04/21,00:07:31,1.1882
41,10/04/21,00:07:42,1.1925
42,10/04/21,00:07:53,1.1925
43,10/04/21,00:08:04,1.1925
44,10/04/21,00:08:15,1.1939
45,10/04/21,00:08:26,1.1953
46,10/04/21,00:08:37,1.1953
47,10/04/21,00:08:48,1.1961
48,10/04/21,00:08:59,1.1939
49,10/04/21,00:09:10,1.1946
50,10/04/21,00:09:21,1.1939
51,10/04/21,00:09:32,1.1925
52,10/04/21,00:09:43,1.1932
53,10/04/21,00:09:54,1.1925
54,10/04/21,00:10:05,1.1918
55,10/04/21,00:10:16,1.1918
56,10/04/21,00:10:27,1.1896
57,10/04/21,00:10:38,1.1896
58,10/04/21,00:10:49,1.1925
59,10/04/21,00:11:00,1.1932
60,10/04/21,00:11:11,1.1925
61,10/04/21,00:11:22,1.1939
62,10/04/21,00:11:33,1.1939
63,10/04/21,00:11:44,1.1953
64,10/04/21,00:11:55,1.1953
65,10/04/21,00:12:05,1.1961
66,10/04/21,00:12:16,1.1961
67,10/04/21,00:12:27,1.1975
68,10/04/21,00:12:38,1.1989
69,10/04/21,00:12:49,1.1975
70,10/04/21,00:13:00,1.1946
71,10/04/21,00:13:11,1.1946
72,10/04/21,00:13:22,1.1932
73,10/04/21,00:13:33,1.1918
74,10/04/21,00:13:44,1.191
75,10/04/21,00:13:55,1.1882
76,10/04/21,00:14:05,1.1867
77,10/04/21,00:14:16,1.1867
78,10/04/21,00:14:27,1.1875
79,10/04/21,00:14:38,1.1846
80,10/04/21,00:14:49,1.186
81,10/04/21,00:15:00,1.1867
82,10/04/21,00:15:11,1.1875
83,10/04/21,00:15:21,1.1896
84,10/04/21,00:15:32,1.1925
85,10/04/21,00:15:43,1.1932
86,10/04/21,00:15:54,1.1946
87,10/04/21,00:16:05,1.1968
88,10/04/21,00:16:16,1.2011
89,10/04/21,00:16:27,1.1989
90,10/04/21,00:16:38,1.2025
91,10/04/21,00:16:49,1.2025
92,10/04/21,00:17:00,1.2039
93,10/04/21,00:17:11,1.2039
94,10/04/21,00:17:22,1.2032
95,10/04/21,00:17:33,1.2004
96,10/04/21,00:17:44,1.1982
97,10/04/21,00:17:55,1.1989
98,10/04/21,00:18:06,1.1975
99,10/04/21,00:18:17,1.1961
100,10/04/21,00:18:28,1.1968
101,10/04/21,00:18:39,1.1953
102,10/04/21,00:18:50,1.1939
103,10/04/21,00:19:01,1.1918
104,10/04/21,00:19:12,1.1932
105,10/04/21,00:19:23,1.1896
106,10/04/21,00:19:34,1.1882
107,10/04/21,00:19:45,1.1918
108,10/04/21,00:19:55,1.1918
109,10/04/21,00:20:06,1.1939
110,10/04/21,00:20:17,1.1932
111,10/04/21,00:20:28,1.1946
112,10/04/21,00:20:39,1.1939
113,10/04/21,00:20:50,1.1946
114,10/04/21,00:21:01,1.1953
115,10/04/21,00:21:12,1.1939
116,10/04/21,00:21:23,1.1953
117,10/04/21,00:21:34,1.1946
118,10/04/21,00:21:45,1.1946
119,10/04/21,00:21:56,1.1939
120,10/04/21,00:22:07,1.1939
121,10/04/21,00:22:18,1.1932
122,10/04/21,00:22:29,1.1932
123,10/04/21,00:22:40,1.1918
124,10/04/21,00:22:50,1.1932
125,10/04/21,00:23:01,1.191
126,10/04/21,00:23:12,1.1925
127,10/04/21,00:23:23,1.1896
128,10/04/21,00:23:34,1.1875
129,10/04/21,00:23:45,1.1875
130,10/04/21,00:23:56,1.1896
131,10/04/21,00:24:07,1.191
132,10/04/21,00:24:18,1.1939
133,10/04/21,00:24:29,1.1953
134,10/04/21,00:24:39,1.1982
135,10/04/21,00:24:50,1.2004
136,10/04/21,00:25:01,1.2011
137,10/04/21,00:25:12,1.2004
138,10/04/21,00:25:23,1.1982
139,10/04/21,00:25:34,1.1982
140,10/04/21,00:25:45,1.1982
141,10/04/21,00:25:56,1.2004
142,10/04/21,00:26:07,1.1961
143,10/04/21,00:26:18,1.1953
144,10/04/21,00:26:29,1.1968
145,10/04/21,00:26:40,1.1946
146,10/04/21,00:26:51,1.1939
147,10/04/21,00:27:02,1.1925
148,10/04/21,00:27:13,1.1932
149,10/04/21,00:27:23,1.191
150,10/04/21,00:27:34,1.1882
151,10/04/21,00:27:45,1.186
152,10/04/21,00:27:56,1.1853
153,10/04/21,00:28:07,1.186
154,10/04/21,00:28:18,1.1839
155,10/04/21,00:28:29,1.1846
156,10/04/21,00:28:40,1.1846
157,10/04/21,00:28:51,1.1882
158,10/04/21,00:29:02,1.1882
159,10/04/21,00:29:13,1.191
160,10/04/21,00:29:24,1.191
161,10/04/21,00:29:35,1.1932
162,10/04/21,00:29:46,1.1939
