,Date,Time,Proximity Sensor 2
0,21/06/18,10:51:14,1.9308
1,21/06/18,10:51:24,1.9336
2,21/06/18,10:51:35,1.9336
3,21/06/18,10:52:27,1.9322
4,21/06/18,10:52:37,1.9379
5,21/06/18,10:52:47,1.9408
6,21/06/18,10:52:58,1.9444
7,21/06/18,10:53:08,1.9437
8,21/06/18,10:53:18,1.9451
9,21/06/18,10:53:29,1.9437
10,21/06/18,10:53:39,1.9458
11,21/06/18,10:53:49,1.943
12,21/06/18,10:54:00,1.9401
13,21/06/18,11:11:34,1.5143
14,21/06/18,11:11:44,1.5093
15,21/06/18,11:11:54,1.5107
16,21/06/18,11:12:04,1.5143
17,21/06/18,11:12:15,1.5143
18,21/06/18,11:12:25,1.5143
19,21/06/18,11:12:35,1.51
20,21/06/18,11:12:45,1.5043
21,21/06/18,11:12:56,1.5036
22,21/06/18,11:13:06,1.5036
23,21/06/18,11:13:31,1.5107
24,21/06/18,11:13:41,1.5086
25,21/06/18,11:13:51,1.5064
26,21/06/18,11:14:01,1.4986
27,21/06/18,11:14:11,1.4986
28,21/06/18,11:14:21,1.4928
29,21/06/18,11:14:32,1.4921
30,21/06/18,11:14:42,1.4856
31,21/06/18,11:14:52,1.4885
32,21/06/18,11:15:02,1.4928
