,Date,Mounts
494,20190924,97
495,20190215,123
496,20191120,55
497,20190531,15
498,20200313,129
499,20180212,43
500,20200812,32
501,20180625,114
502,20200823,40
503,20191223,9
504,20210207,9
505,20180124,58
506,20200402,80
507,20191117,66
508,20180820,6
509,20191115,91
510,20180123,85
511,20180723,72
512,20190507,69
513,20190530,113
514,20190820,6
515,20190515,19
516,20191112,152
517,20170920,40
518,20191024,60
519,20190506,16
520,20181110,48
521,20200424,2
522,20200401,2
523,20190822,146
524,20200505,36
525,20210320,101
526,20181011,49
527,20190626,117
528,20191015,104
529,20210104,20
530,20190612,29
531,20210629,69
532,20200528,53
533,20210526,8
534,20200608,20
535,20190906,86
536,20210202,4
537,20171027,6
538,20191019,55
539,20190305,13
540,20210807,143
541,20190402,86
542,20200908,62
543,20180326,88
544,20200722,97
545,20180316,114
546,20180921,82
547,20200709,39
548,20200716,56
549,20191204,138
550,20210128,59
551,20200326,9
552,20200305,123
553,20210805,59
554,20200429,16
555,20180329,88
556,20210227,143
557,20210726,48
558,20180417,92
559,20191206,93
560,20190503,78
561,20180831,45
562,20201031,66
563,20201125,3
564,20201111,56
565,20190424,74
566,20171026,83
567,20190930,52
568,20181019,25
569,20180605,97
570,20190625,103
571,20191106,155
572,20191027,48
573,20191001,143
574,20200811,154
575,20200906,58
576,20180205,12
577,20190814,115
578,20200925,24
579,20171128,76
580,20200603,26
581,20171005,55
582,20190207,113
583,20170831,16
584,20181201,91
585,20210607,11
586,20200211,92
587,20201113,76
588,20210617,81
589,20191026,80
590,20200831,116
591,20180410,51
592,20190828,106
593,20190122,2
594,20191207,236
595,20201213,100
596,20191014,49
597,20200304,113
598,20210716,8
599,20200507,10
600,20180816,106
601,20210325,42
602,20210605,34
603,20191011,118
604,20180413,78
605,20210626,59
606,20191205,125
607,20181013,86
608,20190325,42
609,20190904,134
610,20190312,65
611,20200317,42
612,20180402,16
613,20190619,43
614,20201203,81
615,20180403,60
616,20191113,62
617,20190518,64
618,20200319,173
619,20210628,19
620,20180726,40
621,20191104,90
622,20180717,112
623,20191004,59
624,20200721,53
625,20210209,45
626,20180721,86
627,20210625,91
628,20210717,28
629,20180830,64
630,20210624,12
631,20210201,97
632,20181001,65
633,20210131,47
634,20180414,106
635,20181101,137
636,20190918,138
637,20190520,36
638,20181120,103
639,20201212,139
640,20180613,100
641,20200522,52
642,20190321,217
643,20180309,103
644,20180314,69
645,20180117,124
646,20180608,126
647,20171002,101
648,20181012,43
649,20190502,153
650,20191210,109
651,20200527,73
652,20170804,134
653,20181128,121
654,20200818,22
655,20191003,88
656,20210621,8
657,20180706,119
658,20191203,95
659,20191216,15
660,20170802,26
661,20200423,17
662,20210225,29
663,20171114,3
664,20171102,55
665,20180622,110
666,20180606,49
667,20200822,77
668,20180918,21
669,20200410,9
670,20180604,120
671,20190323,92
672,20171020,16
673,20200324,17
674,20191119,36
675,20171111,65
676,20190826,83
677,20201101,78
678,20190430,97
679,20180614,64
680,20191116,65
681,20210520,2
682,20210731,160
683,20210108,8
684,20191018,51
685,20180317,70
686,20190911,27
687,20210127,28
688,20180419,64
689,20190426,82
690,20200102,76
691,20191107,159
692,20190128,28
693,20180824,19
694,20190227,100
695,20210206,9
696,20210528,9
697,20210517,2
698,20191022,3
699,20190528,106
700,20181005,215
701,20200506,62
702,20210322,116
